GermplasmName,Pithiness,n Pithiness,GenericGermplasmName
MC16-0047,2,1,MC16-0047
mc16-0062,2,1,mc16-0062
MC16-0062,2.3,6,MC16-0062
mc16-0065,4,1,mc16-0065
MC16-0065,2.85,4,MC16-0065
MC16-0068,3.5,1,MC16-0068
MC16-0089,2.5,1,MC16-0089
MC16-0100,2.2,1,MC16-0100
MC16-0110,1.7,2,MC16-0110
MC16-0115,1.2,1,MC16-0115
MC16-0120,0.2,1,MC16-0120
MC16-0138,3.2,1,MC16-0138
MC16-0148,1,1,MC16-0148
mc16-0196,2,1,mc16-0196
mc16-0200,3,1,mc16-0200
MC16-0200,2.2,4,MC16-0200
MC16-0206,2.2,2,MC16-0206
mc16-0223,2.8,1,mc16-0223
MC16-0223,2,2,MC16-0223
MC16-0250,2.3,1,MC16-0250
mc16-0260,2.5,1,mc16-0260
MC16-0260,2.35,5,MC16-0260
MC16-0284,3.5,1,MC16-0284
MC16-0294,2.4,2,MC16-0294
mc16-0298,3.7,1,mc16-0298
MC16-0298,2.65,3,MC16-0298
MC16-0348,2,1,MC16-0348
MC16-0401,1.3,1,MC16-0401
MC16-0417,2,1,MC16-0417
mc16-0420,3.7,1,mc16-0420
MC16-0420,1.85,5,MC16-0420
MC16-0429,1.8,1,MC16-0429
mc16-0433,3.8,1,mc16-0433
MC16-0433,1.5,1,MC16-0433
MC16-0438,2.8,1,MC16-0438
MC16-0444,1.3,2,MC16-0444
MC16-0455,2.3,1,MC16-0455
MC16-0470,2.7,1,MC16-0470
MC16-0471,0.8,1,MC16-0471
MC16-0474,3.1,2,MC16-0474
MC16-0475,1.7,1,MC16-0475
MC16-0478,2.7,1,MC16-0478
MC16-0479,2.2,1,MC16-0479
MC16-0480,2.5,1,MC16-0480
MC16-0483,3.2,1,MC16-0483
MC16-0485,2.3,1,MC16-0485
MC16-0493,3,1,MC16-0493
MC16-0517,3.8,1,MC16-0517
MC16-0531,3.5,1,MC16-0531
MC16-0534,3.6,2,MC16-0534
MC16-0541,3.3,2,MC16-0541
MC16-0545,2.7,1,MC16-0545
MC16-0549,2.5,1,MC16-0549
mc16-0557,3.7,1,mc16-0557
MC16-0557,3.3,1,MC16-0557
MC16-0560,2.2,1,MC16-0560
MC16-0570,2.2,1,MC16-0570
MC16-0626,3,1,MC16-0626
MC16-0631,2,1,MC16-0631
MC16-0643,2.5,1,MC16-0643
mc16-0644,3.7,1,mc16-0644
MC16-0686,3,1,MC16-0686
MC16-0687,3.2,1,MC16-0687
MC16-0714,3.3,3,MC16-0714
MC16-0737,4,1,MC16-0737
MC16-0738,3.2,2,MC16-0738
MC16-0745,1.3,3,MC16-0745
MC16-0782,1.8,1,MC16-0782
mc16-0789,3.5,1,mc16-0789
MC16-0789,2.4,2,MC16-0789
MC16-0792,2.7,1,MC16-0792
MC16-0793,2.4,3,MC16-0793
MC16-0805,2.5,1,MC16-0805
MC16-0815,2.5,1,MC16-0815
mc16-0821,2.3,1,mc16-0821
MC16-0821,2.4,4,MC16-0821
MC16-0854,2.8,1,MC16-0854
MC16-0859,2.2,1,MC16-0859
mc16-0860,2.3,1,mc16-0860
MC16-0860,2.7,2,MC16-0860
mc16-0877,1.7,1,mc16-0877
MC16-0877,2.5,3,MC16-0877
MC16-0878,3.8,1,MC16-0878
MC16-0883,2.4,3,MC16-0883
MC16-0926,3.2,1,MC16-0926
MC16-474,2.8,1,MC16-474
MC166-0036,2.3,1,MC166-0036
mc17-0015,3.3,1,mc17-0015
MC17-0015,2.1,5,MC17-0015
MC17-0021,2.2,1,MC17-0021
mc17-0047,1.8,2,mc17-0047
mc17-0084,2.7,1,mc17-0084
MC17-0084,2.5,1,MC17-0084
mc17-0089,3.7,1,mc17-0089
MC17-0089,2,1,MC17-0089
MC17-0125,1.7,2,MC17-0125
MC17-0128,3.9,2,MC17-0128
mc17-0133,3.2,2,mc17-0133
mc17-0142,2.3,1,mc17-0142
MC17-0142,1.8,1,MC17-0142
mc17-0144,2.5,1,mc17-0144
mc17-0164,3,1,mc17-0164
MC17-0164,2.25,2,MC17-0164
mc17-0182,4,1,mc17-0182
mc17-0221,3.7,1,mc17-0221
MC17-0221,3.15,2,MC17-0221
MC17-0263,1.2,1,MC17-0263
mc17-0416,3.5,1,mc17-0416
MC17-0416,2.2,1,MC17-0416
mc17-0474,3.5,1,mc17-0474
mc17-0502,3,1,mc17-0502
MC17-0502,3,1,MC17-0502
mc17-0549,2.7,1,mc17-0549
mc17-0563,2.3,1,mc17-0563
MC17-0563,3.2,1,MC17-0563
mc17-0590,3,1,mc17-0590
MC17-0627,2,1,MC17-0627
mc17-0670,3.2,1,mc17-0670
MC17-0670,3.7,1,MC17-0670
mc17-0670B,3.8,1,mc17-0670B
MC17-0671,1.3,1,MC17-0671
MC17-0744,2,1,MC17-0744
MC17-0772,1.1,4,MC17-0772
mc17-0806,2.5,1,mc17-0806
mc17-0849,3.2,1,mc17-0849
MC17-0849,1.4,2,MC17-0849
MC17-0891,2.2,1,MC17-0891
MC17-0938,0.2,1,MC17-0938
mc17-0974,3.5,1,mc17-0974
mc17-1030,1,1,mc17-1030
MC17-1030,1.35,2,MC17-1030
MC17-1078,2.8,1,MC17-1078
MC18-0751,2.7,1,MC18-0751
MD810,0.9,4,MD810
Minamiyutaka,2.5,1,Minamiyutaka
Mojave,2.6,2,Mojave
Mugande,2,1,Mugande
Murasaki_29,2,1,Murasaki
Murasaki29,2.525,16,Murasaki29
MURASAKI-29,2.7,1,MURASAKI-29
murasaki29,3.5,1,murasaki29
Murasaki29,2.525,16,Murasaki29
N09-01119,2,1,N09-01119
N09-0165C1,1.7,1,N09-0165C1
Naeshirazu,2.5,2,Naeshirazu
NC02-0350,2,4,NC02-0350
NC02-0423,2.8,3,NC02-0423
NC03-0007,2.2,2,NC03-0007
NC03-0035,3.1,2,NC03-0035
NC03-0089,2,1,NC03-0089
NC03-0302,3.3,3,NC03-0302
NC03-0417,1.7,2,NC03-0417
NC04-0032,1.2,10,NC04-0032
NC04-0090,2,2,NC04-0090
NC04-0412,2.2,2,NC04-0412
nc04-0531,2.5,1,nc04-0531
NC04-0531,3.466666667,23,NC04-0531
NC04-0531 G1,2.8,1,NC04-0531 G1
nc05-0050,3.1,2,nc05-0050
NC05-0050,2.7,17,NC05-0050
NC05-0198,1.4,60,NC05-0198
NC05-0257,1.9,4,NC05-0257
NC05-0536,2,1,NC05-0536
NC05-0553,2.3,1,NC05-0553
nc05-0633,3,1,nc05-0633
NC06-0185,1.7,3,NC06-0185
NC06-0189,1.9,3,NC06-0189
NC06-0312,2.1,7,NC06-0312
NC06-0345,2.9,6,NC06-0345
NC06-0546,3.2,1,NC06-0546
NC07-0033,2.7,1,NC07-0033
NC07-0044,2.3,8,NC07-0044
NC07-0076,0.9,2,NC07-0076
NC07-0090,2.6,3,NC07-0090
NC07-0094A,1.8,1,NC07-0094A
NC07-0106,2.8,2,NC07-0106
NC07-0124,1.6,3,NC07-0124
NC07-0151,1.5,12,NC07-0151
NC07-0322,1.4,6,NC07-0322
NC07-0331,2.5,2,NC07-0331
NC07-0338,2.6,2,NC07-0338
NC07-0344,2.5,1,NC07-0344
NC07-0349,2,1,NC07-0349
NC07-0364,2.9,9,NC07-0364
NC07-0412,3.7,1,NC07-0412
NC07-0454,2,1,NC07-0454
NC07-0519,0.7,1,NC07-0519
NC07-0745,2.7,5,NC07-0745
NC07-0776,2,1,NC07-0776
NC07-0810,2.8,2,NC07-0810
nc07-0847,3.3,1,nc07-0847
NC07-0847,2.7,32,NC07-0847
NC07-0850,2.2,1,NC07-0850
NC07-0920,2.3,1,NC07-0920
NC08-0034,2.5,4,NC08-0034
NC08-0036,2.85,29,NC08-0036
nc08-0036C1,4,1,nc08-0036C1
NC08-0040,3.5,1,NC08-0040
NC08-0042,2,1,NC08-0042
NC08-0124,1,1,NC08-0124
NC08-0185,2.5,1,NC08-0185
NC08-0275,2.3,3,NC08-0275
NC08-0278,1.7,3,NC08-0278
NC08-0328,2.7,5,NC08-0328
NC08-0427,3,6,NC08-0427
NC08-0435,3.4,6,NC08-0435
NC08-0437,3.4,5,NC08-0437
NC08-0460,1.9,9,NC08-0460
NC08-0500,1.7,9,NC08-0500
NC08-0544,2.4,5,NC08-0544
NC08-0553,2.8,6,NC08-0553
NC08-0574,2,1,NC08-0574
NC08-0576,2.3,6,NC08-0576
NC08-0652,2.7,1,NC08-0652
NC08-0754,1.9,4,NC08-0754
NC08-0814,2.2,2,NC08-0814
NC08-0822,2,10,NC08-0822
NC08-0838,1.8,1,NC08-0838
NC09-0003,1.6,4,NC09-0003
NC09-0022,2.7,1,NC09-0022
NC09-0119,1.7,1,NC09-0119
NC09-0122,2.86,60,NC09-0122
NC09-0122 B3,2.7,1,NC09-0122 B3
NC09-0122_B3,2.86,60,NC09-0122
NC09-0122_C1,2.86,60,NC09-0122
nc09-0122B3,4,1,nc09-0122B3
NC09-0122B3,2.85,4,NC09-0122B3
NC09-0122C1,2.9,6,NC09-0122C1
NC09-0122G3,3,1,NC09-0122G3
NC09-0136,3.1,19,NC09-0136
NC09-0164,1.7,11,NC09-0164
NC09-0165,1.9,30,NC09-0165
NC09-0165_C1,1.9,30,NC09-0165
NC09-0165C1,2,2,NC09-0165C1
NC09-0165CLRSKIN,2.8,1,NC09-0165CLRSKIN
NC09-0165Yellowsport,2.8,2,NC09-0165Yellowsport
NC09-0178,2.3,2,NC09-0178
NC09-0188,3.1,6,NC09-0188
NC09-0190,3.8,1,NC09-0190
NC09-0204,3,1,NC09-0204
NC09-0208,3,1,NC09-0208
NC09-0222,2.7,4,NC09-0222
NC09-0240,2.7,1,NC09-0240
NC09-0279,2.6,3,NC09-0279
