GermplasmName,RKN,FW,GH SSR,Field SSR
MC14-0363,3,3,,
MC14-0363_4-10_G2,4,4,,
MC14-0363_4-5_G2,3,3,,
MC14-0363_M1-1_G2,,3,,
MC14-0363_M1-1_G2,4,3,,
MC14-0363_M1-3_G2,,3,,
MC14-0363_M1-3_G2,3,3,,
MC14-0363_M2-10_G2,,4,,
MC14-0363_M2-10_G2,4,4,,
MC14-0363_M2-9_G2,,3,,
MC14-0363_M2-9_G2,4,3,,
MC14-0363_M4-10_G2,3,3,,
MC14-0363_M4-4_G2,,4,,
MC14-0363_M4-4_G2,4,3,,
MC14-0363_M4-5_G2,4,4,,
MC14-0363_M4-7_G2,,4,,
MC14-0363_M4-7_G2,3,3,,3
MC14-0363_ROSE9,3,3,,
MC14-0363_ROSESPORT,3,3,,
MC14-0363_SK1,,4,,
MC14-0363_SK1,0,,,
MC14-0377,,3,,3
MC14-0377,4,3,,
MC14-0377,3,0,,
MC14-0377,3,3,,3
MC14-0398,3,2,4,1
MC14-0423,,3,,1
MC14-0468,2,3,3,
MC14-0479,0,3,,
MC14-0501,2,3,,2
MC14-0501,3,3,,
MC14-0519,0,3,2,
MC14-0527,1,1,,
MC14-0561,,1,,
MC14-0567,,3,,
MC14-0596,,3,,
MC14-0620,,3,,
MC14-0637,,3,,
MC14-0663,,3,,
MC14-0709,,3,,
MC14-0719,,3,,3
MC14-0771,,0,,3
MC14-0777,,3,,
MC14-0782,0,3,0,
MC14-0783,,3,,1
MC14-0783,0,2,,
MC14-0800,,2,,
MC14-0803,,3,,3
MC14-0842,,1,,1
MC14-0851,2,0,0,
MC14-0871,0,2,,1
MC14-0871,0,0,,
MC14-0871,0,2,,
MC14-0871,0,1,,1
MC14-0894,,1,,
MC14-0910,,0,,3
MC14-0915,0,0,1,3
MC14-0915,0,0,,2
MC14-0954,,0,,
MC14-0958,0,3,,3
MC14-0958,2,2,,
MC14-0958,1,2,,2
MC14-0960,,2,,3
MC14-0965,0,3,2,3
MC14-0965,0,3,,2
MC14-0965,0,1,,
MC14-0982,,0,,3
MC14-0994,,1,,
MC14-1028,,3,,
MC14-1039,1,2,0,
MC14-1057,3,3,2,0
MC14-1057,4,4,,2
MC14-1057,4,3,,
MC14-1102,,3,,
MC15-0019,3,3,,
MC15-0019,3,3,,
MC15-0024,4,NA,,
MC15-0032,,2,,3
MC15-0032,4,4,,
MC15-0032,3,2,,
MC15-0033,3,2,,
MC15-0046,3,3,,
MC15-0074,,3,,1
MC15-0074,3,2,,
MC15-0101,4,3,,
MC15-0101,4,3,,
MC15-0166,,2,,2
MC15-0180,3,2,,
MC15-0180,3,3,,
MC15-0217,,2,,0
MC15-0218,3,4,,
MC15-0236,4,3,,
MC15-0242,,1,,1
MC15-0242,,0,,
MC15-0273A,,3,,
MC15-0273A,3,3,,
MC15-0283,,3,,
MC15-0296,,2,,
MC15-0312,,3,,
MC15-0315,,0,,
MC15-0397,,0,,
MC15-0399,,1,,
MC15-0408,,2,,
MC15-0408,3,3,,
MC15-0409,,1,,
MC15-0409,4,3,,
MC15-0431,,3,,
MC15-0446,,3,,
MC15-0457,,2,,0
MC15-0457A,,3,,
MC15-0476,,0,,1
MC15-0476,,0,,
MC15-0485,,3,,
MC15-0489,,1,,
MC15-0535,,2,,
MC15-0538,,2,,1
MC15-0538,,3,,
MC15-0594,,3,,
MC15-0594,3,3,,
MC15-0596,,3,,1
MC15-0624,,4,,
MC15-0644,,2,,
MC15-0644,2,2,,
MC15-0644,1,3,,2
MC15-0672,,3,,
MC15-0673,4,3,,
MC15-0673,3,3,,2
MC15-0678,,1,,
MC16-0010,2,2,,
MC16-0010,1,2,,0
MC16-0026,3,2,,
MC16-0036,3,2,,
MC16-0036,4,2,,1
MC16-0039,3,3,,
MC16-0047,3,4,,
MC16-0062,,3,,
MC16-0062,3,3,,
MC16-0062,3,3,,2
MC16-0065,4,1,,
MC16-0065,3,2,,3
MC16-0065,,1,,
MC16-0068,3,3,,
MC16-0089,3,2,,
MC16-0094,,3,,
MC16-0100,2,3,,
MC16-0110,3,3,,
MC16-0110,3,4,,
MC16-0115,,2,,
MC16-0115,1,3,,
MC16-0126,,1,,
MC16-0148,3,1,,
MC16-0176,,0,,
MC16-0186,,1,,
MC16-0196,3,3,,
MC16-0200,3,0,,
MC16-0200,4,0,,3
MC16-0200,,0,,
MC16-0201,,3,,
MC16-0223,3,2,,
MC16-0223,3,2,,2
MC16-0223,,2,,
MC16-0250,3,0,,
MC16-0260,,3,,
MC16-0260,4,2,,
MC16-0260,4,2,,3
MC16-0284,4,2,,
MC16-0290,1,2,,
MC16-0291,,2,,
MC16-0291,2,3,,
MC16-0298,3,3,,3
MC16-0298,,3,,
MC16-0304,,2,,
MC16-0348,2,0,,
MC16-0352,3,3,,
MC16-0362,3,4,,
MC16-0367,3,3,,
MC16-0392,3,4,,
MC16-0420,3,2,,
MC16-0420,3,4,,2
MC16-0433,3,2,,
MC16-0433,3,1,,2
MC16-0433,,2,,
MC16-0438,,0,,
MC16-0444,0,3,,
MC16-0455,3,4,,
MC16-0468,,2,,
MC16-0470,,2,,
MC16-0470,3,2,,
MC16-0474,,3,,
MC16-0474,3,3,,3
MC16-0475A,,0,,
MC16-0475B,,0,,
MC16-0478,,2,,
MC16-0479,,2,,
MC16-0479,,3,,
MC16-0480,,3,,
MC16-0493,,3,,
MC16-0517,,2,,
MC16-0529,,3,,
MC16-0531,,0,,
MC16-0534,,2,,
MC16-0541,,2,,
MC16-0545,,4,,
MC16-0549,,3,,
MC16-0557,,3,,
MC16-0557,3,3,,
MC16-0560,,2,,
MC16-0570,,2,,
MC16-0575,,2,,
MC16-0610,,0,,
MC16-0626,,0,,
MC16-0631,,2,,
MC16-0631,,2,,
MC16-0687,,0,,
MC16-0714,,3,,
MC16-0714,4,3,,2
MC16-0737,,3,,
MC16-0738,,2,,
MC16-0740,,0,,
MC16-0745,,2,,
MC16-0745,,2,,
MC16-0745,4,3,,
MC16-0782,,2,,
MC16-0784,,1,,
MC16-0784,,2,,
MC16-0788,,3,,
MC16-0789,,2,,
MC16-0789,2,2,,
MC16-0792,,2,,
MC16-0793,,2,,
MC16-0793,3,3,,
MC16-0795,,0,,
MC16-0805,,2,,
MC16-0812,,1,,
MC16-0812,,3,,
MC16-0815,,0,,
MC16-0821,,2,,
MC16-0821,3,2,,
MC16-0859,,2,,
MC16-0860,,3,,
MC16-0860,,4,,
MC16-0860,0,3,,3
MC16-0876,,2,,
MC16-0877,,2,,
MC16-0878,,1,,
MC16-0878,,3,,
MC16-0882,,0,,
MC16-0883,,2,,
MC16-0883,,3,,
MC16-0883,3,3,,
MC17-0015,0,3,,2
MC17-0015,,3,,
MC17-0021,0,2,,
MC17-0047,3,2,,
MC17-0084,3,3,,
MC17-0089,4,4,,
MC17-0125,3,3,,
MC17-0128,3,3,,
MC17-0133,3,4,,3
MC17-0133,,3,,
MC17-0138,,2,,
MC17-0142,4,4,,
MC17-0144,3,2,,2
MC17-0144,,3,,
MC17-0164,2,1,,1
MC17-0164,,2,,
MC17-0182,2,0,,
MC17-0221,0,3,,0
MC17-0221,,3,,
MC17-0263,3,3,,3
MC17-0416,3,3,,
MC17-0502,3,3,,
MC17-0549,3,4,,
MC17-0563,,4,,
MC17-0627,3,3,,1
MC17-0628,2,3,,
MC17-0633,,3,,
MC17-0670,0,4,,2
MC17-0670B,3,3,,3
MC17-0671,3,3,,0
MC17-0727,,2,,
MC17-0742,,3,,
MC17-0744,3,3,,2
MC17-0772,3,3,,1
MC17-0772,,3,,
MC17-0806,3,1,,
MC17-0849,4,3,,3
MC17-0853,0,2,,3
MC17-0869,,4,,
MC17-0891,0,,,1
MC17-0938,4,3,,
MC17-0966,,4,,
MC17-0974,4,3,,2
MC17-1030,3,3,,1
MC17-1030,,3,,
MC17-1078,3,2,,
MC17-1110,1,3,,1
MC17-1110,,4,,
MC17-1183,3,3,,
MC17-1183,,4,,
MC18-0446,,,,3
MC18-0551,,3,,
MC18-0559,,3,,
MC18-0683,,,,3
MC18-0683,,3,,
MC18-0765,,3,,
MC18-0853,,2,,
MC18-0860,,2,,
MC18-0931,,2,,
MC18-1126,,3,,
MD P217-84,,1,,
MD P217-84,,3,,
MD15-63,4,0,1,1
MD810  ,0,0,2,2
Munduena,,0,,
Munduena,,0,,
Murasaki-29,3,2,3,2
Murasaki-29,3,1,1,3
Murasaki-29,3,2,1,2
Murasaki-29,,3,,
Murasaki-29,,2,,2
Naeshirazu,,0,,0
Naspot 1,3,0,,
Naspot 10,3,2,,
Naspot 3,4,0,,
Naspot 4,3,1,,
Naspot 5,4,0,,
Naspot 8,3,0,,
Naspot 9,3,0,,
NC00-0052 ,3,2,,
NC00-0055,1,2,,
NC00-0061 ,0,3,,
NC00-0101,3,3,3,3
NC00-0101,3,3,3,3
NC00-0101 ,3,4,,
NC00-0101 ,4,2,3,3
NC00-0199,3,3,,
NC00-0368 ,1,2,,
NC00-0477 ,2,2,,
NC00-0541,1,0,3,1
NC00-0541 ,1,0,,
NC00-0550 ,0,3,,
NC00-0586 ,0,1,,
NC00-0677,3,2,3,1
NC00-0677 ,2,3,,
NC00-0720,3,0,3,3
NC00-0720,2,0,2,2
NC00-0720,0,3,3,3
NC00-0720 ,3,1,,
NC00-0748,4,3,2,3
NC00-0748,4,2,3,3
NC00-0748,2,3,3,3
NC00-0748 ,3,2,,
NC01-0015,4,0,0,1
NC01-0015 ,,1,,
NC01-0017 ,,1,,
NC01-0017 ,1,2,2,
NC01-0019 ,,0,,
NC01-0022 ,,1,,
NC01-0022 ,0,0,3,
NC01-0027 ,,0,,
NC01-0037 ,,3,,
NC01-0054 ,,4,,
NC01-0060 ,,4,,
NC01-0073 ,,0,,
NC01-0073  ,4,0,0,0
NC01-0084 ,,3,,
NC01-0092 ,,3,,
NC01-0093 ,,1,,
NC01-0108 ,,2,,
NC01-0112 ,,4,,
NC01-0130  ,,2,,
NC01-0133 ,,1,,
NC01-0144 ,,2,,
NC01-0148 ,,2,,
NC01-0149 ,,0,,
NC01-0150 ,,0,,
NC01-0156,4,2,1,0
NC01-0156,3,3,1,0
NC01-0156,4,3,1,0
NC01-0156 ,,1,,
NC01-0156 ,4,2,0,
NC01-0159 ,,3,,
NC01-0160 ,,2,,
NC01-0164 ,,3,,
NC01-0166 ,,3,,
NC01-0167 ,,2,,
NC01-0176 ,,3,,
NC01-0178 ,,2,,
NC01-0183 ,,3,,
NC01-0183 ,4,3,0,
NC01-0184 ,,1,,
NC01-0186 ,,1,,
NC01-0195 ,,0,,
NC01-0198 ,,0,,
NC01-0213 ,,1,,
NC01-0214,0,2,1,2
NC01-0214 ,3,2,3,2
NC01-0221,1,1,,
NC01-0221,1,0,2,2
NC01-0227 ,,1,,
NC01-0280 ,,3,,
NC01-0284 ,,2,,
NC01-0289 ,,2,,
NC01-0290 ,,1,,
NC01-0305 ,,3,,
NC01-0314 ,,0,,
NC01-0319 ,,1,,
NC01-0332 ,,0,,
NC01-0333 ,,1,,
NC01-0334,4,1,2,1
NC01-0334,3,3,3,3
NC01-0334 ,,2,,
NC01-0334 ,4,1,3,2
NC01-0338 ,,2,,
NC01-0339 ,,3,,
NC01-0341 ,,3,,
NC01-0343 ,,1,,
NC01-0343 ,4,1,3,
NC01-0351,0,3,0,1
NC01-0351,0,3,1,1
NC01-0351 ,,3,,
NC01-0351 ,0,1,1,1
NC01-0362,1,2,2,1
NC01-0362,1,3,3,3
NC01-0362 ,,1,,
NC01-0362 ,3,2,2,1
NC02-0018 ,,4,,
NC02-0079 ,,4,,
NC02-0121,2,1,3,
NC02-0121,3,1,3,3
NC02-0121,4,2,3,3
