GermplasmName,RKN,FW,GH SSR,Field SSR
NC05-0587,3,2,3,3
NC05-0589,,1,,
NC05-0589,3,0,0,0
NC05-0589,3,0,0,
NC05-0598,,1,,
NC05-0601,,3,,
NC05-0609,1,0,1,2
NC05-0609,0,3,0,0
NC05-0619,,1,,
NC05-0632,,2,,
NC05-0636,,2,,
NC05-0636,3,3,0,0
NC05-0636,,0,,
NC06-0022,,3,1,2
NC06-0037,,0,1,3
NC06-0037,0,2,1,
NC06-0052,,3,1,2
NC06-0052,0,1,1,
NC06-0059,,3,0,3
NC06-0059,3,0,0,
NC06-0060,,1,0,0
NC06-0073,,0,0,0
NC06-0074,,3,0,0
NC06-0076,,,,
NC06-0079,,3,2,0
NC06-0099,,3,0,0
NC06-0102,,3,0,3
NC06-0122,,3,0,0
NC06-0125,,3,0,0
NC06-0128,,3,2,
NC06-0133,,3,2,0
NC06-0141,,3,2,
NC06-0146,,3,0,0
NC06-0157,,3,1,0
NC06-0171,,2,,
NC06-0175,,3,,2
NC06-0175,3,3,1,
NC06-0183,,2,,2
NC06-0183,3,2,1,
NC06-0183,3,0,2,1
NC06-0183,3,3,2,1
NC06-0183 ,3,3,0,1
NC06-0185,,1,,3
NC06-0185,2,1,1,2
NC06-0185,3,0,2,
NC06-0189,,3,,3
NC06-0189,2,3,3,2
NC06-0189,1,3,3,
NC06-0192,,2,,3
NC06-0192,0,3,1,
NC06-0210,,3,,0
NC06-0220,,3,,3
NC06-0220,0,2,1,2
NC06-0226,,3,,0
NC06-0226,1,3,2,1
NC06-0231,,3,,0
NC06-0241,,0,,1
NC06-0250,,0,,0
NC06-0250,,,,
NC06-0260,,2,,0
NC06-0261,,0,,1
NC06-0261,3,2,1,1
NC06-0261,4,0,1,0
NC06-0262,,2,,2
NC06-0278,,2,,1
NC06-0278,4,3,1,
NC06-0280,,3,,0
NC06-0288,,3,,0
NC06-0290,,3,,3
NC06-0290,0,3,3,3
NC06-0290,0,3,3,
NC06-0298,,0,,1
NC06-0298,4,1,1,
NC06-0299,,2,,
NC06-0310,,3,,0
NC06-0311,,3,,2
NC06-0311,1,3,1,
NC06-0311,1,0,0,0
NC06-0312,,0,,3
NC06-0312,1,2,1,3
NC06-0312,2,0,1,3
NC06-0312,0,3,3,3
NC06-0312,2,0,2,3
NC06-0320,,0,,0
NC06-0327,,2,,2
NC06-0327,2,2,1,
NC06-0332,,3,,0
NC06-0339,,3,,0
NC06-0345,,3,,3
NC06-0345,0,3,,1
NC06-0345,1,0,0,1
NC06-0345,0,3,,2
NC06-0358,,2,,0
NC06-0361,,3,,2
NC06-0361,2,3,2,
NC06-0363,,2,,3
NC06-0363,1,3,2,3
NC06-0363,1,1,2,3
NC06-0366,,0,,2
NC06-0366,0,1,2,
NC06-0382,,1,,0
NC06-0384,,3,,3
NC06-0384,3,3,3,
NC06-0386,,3,,0
NC06-0389,,0,,0
NC06-0407,,3,,2
NC06-0407,0,3,3,
NC06-0412,,0,,1
NC06-0412,2,0,2,
NC06-0430,,,,1
NC06-0433,,3,,0
NC06-0433,0,3,2,
NC06-0437,,,,2
NC06-0438,,,,1
NC06-0443,,3,,2
NC06-0446,,,,0
NC06-0452,,2,,1
NC06-0452,3,3,0,
NC06-0456,,3,,0
NC06-0489,,,,0
NC06-0503,,1,,3
NC06-0503,3,2,,
NC06-0507,,,,0
NC06-0522,,2,,0
NC06-0524,,2,,3
NC06-0524,0,2,3,3
NC06-0532,,,,0
NC06-0532,0,3,1,
NC06-0546,,3,,
NC06-0546,1,3,1,1
NC06-0546,1,3,0,0
NC06-0557,,3,,2
NC06-0557,4,3,1,3
NC06-0557,4,1,1,
NC06-0558,,,,
NC06-0560,,2,,0
NC06-0562,,3,,0
NC06-0562,1,3,0,0
NC06-0566,,2,,3
NC06-0566,3,3,1,
NC06-0570,,3,,
NC06-0585,,3,,2
NC06-0585,3,2,2,
NC06-0587,,3,,0
NC06-0589,,2,,0
NC06-0590,,0,,3
NC06-0590,3,3,3,
NC06-0596,,3,,0
NC06-0598,,3,,2
NC06-0601,,2,,2
NC06-0601,1,3,1,
NC06-0602,,0,,1
NC06-0602,3,2,0,
NC06-0606,,2,,1
NC06-0606,3,3,1,
NC06-0606,4,3,1,2
NC06-0619,,3,,
NC06-0619,3,3,1,
NC06-0621,,3,,
NC06-0621,2,3,1,2
NC06-0621,1,0,0,1
NC06-0621,3,0,1,.
NC06-0625,,,,
NC06-0626,,3,,3
NC06-0626,2,2,2,
NC06-0629,,,,0
NC06-0630,,,,0
NC06-0634,,,,2
NC06-0634,3,3,2,
NC06-0635,,3,,3
NC06-0635,3,3,2,
NC06-0649,,,,3
NC06-0649,1,3,2,
NC06-0651,,,,2
NC06-0651,0,3,2,2
NC06-0651,0,3,3,2
NC06-0652,,,,2
NC06-0652,1,1,1,2
NC06-0652,,0,,
NC07-0014,,3,1,
NC07-0016,,1,0,
NC07-0018,2,1,,
NC07-0028,0,3,,
NC07-0033,,1,,3
NC07-0033,1,2,1,
NC07-0033,0,1,1,2
NC07-0037,,3,,
NC07-0038,,3,,
NC07-0039,,3,,
NC07-0041,,3,,1
NC07-0041,1,2,2,2
NC07-0044,1,3,0,3
NC07-0044,1,3,2,3
NC07-0044,1,2,3,3
NC07-0044 Proc,1,3,,3
NC07-0049,,3,,
NC07-0051,,3,,
NC07-0061,,0,,
NC07-0066,,3,,
NC07-0068,,1,,
NC07-0076,,2,,
NC07-0076,4,0,0,1
NC07-0076,2,0,2,2
NC07-0079,,2,,1
NC07-0079,1,0,1,
NC07-0090,,2,,1
NC07-0090,1,0,2,1
NC07-0090,0,0,1,1
NC07-0091,,1,,2
NC07-0091,,0,,
NC07-0093,,3,,
NC07-0094,1,1,,1
NC07-0094A,,1,,3
NC07-0094A,0,2,3,3
NC07-0094A,0,1,3,0
NC07-0094B,2,0,0,2
NC07-0094B,0,0,1,1
NC07-0096,,3,,
NC07-0101,,3,,2
NC07-0101,1,3,3,
NC07-0102,,2,,2
NC07-0102,1,2,3,
NC07-0102,1,3,,
NC07-0106,1,2,,2
NC07-0107,,1,,2
NC07-0107,,1,,
NC07-0117,1,2,,
NC07-0124,0,1,2,1
NC07-0124,4,0,.,
NC07-0124,0,1,3,
NC07-0128,,1,,
NC07-0139,,0,,
NC07-0148,,3,,
NC07-0149,,3,,
NC07-0151,,3,,2
NC07-0151,1,3,3,3
NC07-0151,0,4,3,3
NC07-0151,1,3,3,3
NC07-0152,,3,,
NC07-0154,,3,,
NC07-0156,,3,,
NC07-0157,,1,,
NC07-0163,,3,,
NC07-0167,,2,,
NC07-0174,,1,,
NC07-0190,,0,,
NC07-0199,,1,,0
NC07-0199,,0,,
NC07-0207,,1,,
NC07-0216,,1,,
NC07-0221,,0,,3
NC07-0221,,0,,
NC07-0221,0,0,,2
NC07-0229,,,,
NC07-0232,,1,,
NC07-0233,,3,,
NC07-0242,,0,,
NC07-0244,,1,,
NC07-0247,,1,,0
NC07-0247,,0,,
NC07-0247,2,0,0,0
NC07-0250,,3,,
NC07-0251,,3,,
NC07-0254,,2,,1
NC07-0254,2,1,0,0
NC07-0254,0,2,0,1
NC07-0264,,3,,
NC07-0269,,2,,
NC07-0300,,3,,
NC07-0301,,3,,
NC07-0303,,,,
NC07-0307,,1,,
NC07-0308,,3,,
NC07-0310,,3,,
NC07-0311,,2,,
NC07-0322,,3,,
NC07-0322,1,2,2,2
NC07-0322,0,3,3,2
NC07-0322,0,3,3,0
NC07-0324,,1,,
NC07-0331,0,2,,3
NC07-0331,0,0,3,3
NC07-0331,0,3,3,3
NC07-0338,,2,,
NC07-0338,2,0,3,3
NC07-0338,0,1,3,3
NC07-0341,,0,,
NC07-0343,,3,,
NC07-0350,,2,,
NC07-0362,,2,,
NC07-0364,,2,,
NC07-0364,2,0,1,2
NC07-0364,2,1,,2
NC07-0364,2,0,3,0
NC07-0375,,2,,
NC07-0378,,2,,
NC07-0378,4,3,0,
NC07-0382,,3,,
NC07-0389,,3,,
NC07-0389,3,3,3,3
NC07-0391,,3,1,
NC07-0399,,3,,
NC07-0412,3,3,,2
NC07-0412,4,3,2,2
NC07-0412,3,4,,2
NC07-0416,,3,,
NC07-0428,,3,,
NC07-0431,,1,,
NC07-0441,1,0,,2
NC07-0441,,0,,
NC07-0454,,3,,
NC07-0454,1,3,1,1
NC07-0454,0,3,2,1
NC07-0456,,3,,
NC07-0458,,3,,
NC07-0465,,1,,
NC07-0467,,2,,
NC07-0472,,3,,
NC07-0476,,2,,
NC07-0482,,3,1,
NC07-0485,4,0,3,
NC07-0491,0,3,2,
NC07-0496,,1,,
NC07-0505,2,0,0,0
NC07-0505,0,3,1,.
NC07-0514,,3,1,1
NC07-0514,4,0,2,
NC07-0519,0,0,,3
NC07-0519,,0,,
NC07-0519,0,1,3,2
NC07-0539,,3,1,
NC07-0556,1,1,3,3
NC07-0556,0,3,3,3
NC07-0556,0,2,4,2
NC07-0571,2,0,1,
NC07-0583,,3,,
NC07-0630,1,0,3,3
NC07-0630,0,3,3,.
NC07-0673,1,0,0,
NC07-0699,2,1,0,
NC07-0704,,1,,
NC07-0710,4,0,1,
NC07-0722,1,1,3,
NC07-0727,1,0,3,
NC07-0737,1,1,3,
NC07-0738,2,0,3,3
NC07-0738,0,2,3,.
NC07-0745,,2,1,0
NC07-0745,3,0,0,1
NC07-0745,3,1,2,2
NC07-0784,0,0,0,
NC07-0785,3,2,0,
NC07-0785,1,3,2,2
NC07-0785,2,3,4,3
NC07-0803,1,0,3,3
NC07-0803,0,0,3,.
NC07-0810,2,3,2,2
NC07-0810,0,3,3,3
NC07-0810,1,3,3,3
NC07-0813,0,3,,
NC07-0821,2,3,,
NC07-0847,4,2,0,2
NC07-0847,3,3,3,3
NC07-0847,3,3,2,2
NC07-0850,3,2,0,1
NC07-0850,1,3,2,2
NC07-0850,2,3,2,
NC07-0860,1,3,1,
NC07-0865,3,2,2,
NC07-0873,,3,,
NC07-0884,4,3,1,1
NC07-0884,4,3,3,1
NC07-0920,0,2,1,3
NC07-0920,0,3,,1
NC07-0946,,3,,
NC07-0953,2,3,1,0
NC07-0969,3,3,0,2
NC07-0979,0,1,,2
NC07-0979,,0,,
NC07-0979,0,0,3,.
NC08-0034,4,1,2,2
NC08-0034,2,1,2,2
NC08-0036,,2,3,3
NC08-0036,0,4,3,3
NC08-0036,2,3,3,3
NC08-0036,2,3,4,3
NC08-0040,,0,0,2
NC08-0040,0,2,2,1
NC08-0040,2,3,1,2
NC08-0041,,0,1,
NC08-0042,,2,1,2
NC08-0042,0,2,2,2
NC08-0042,0,3,2,
NC08-0045,,3,3,
NC08-0058,,2,1,
NC08-0066,,0,2,
NC08-0067,,2,3,
NC08-0071,,1,2,
NC08-0072,,1,0,
NC08-0074,,1,2,
NC08-0083,,1,0,
NC08-0089,,0,0,
NC08-0097,,0,3,
NC08-0124,,1,,2
NC08-0124,1,3,3,2
NC08-0124,0,3,3,
NC08-0126,,2,,
NC08-0136,,1,,
NC08-0138,,2,,4
NC08-0138,2,2,1,
NC08-0143,,3,,3
NC08-0147,,1,,
NC08-0149,,2,,
NC08-0157,,2,,
NC08-0162,,3,,
NC08-0180,,3,,
NC08-0185,,3,,2
NC08-0185,3,3,,2
NC08-0199,,1,,
NC08-0201,,2,,
NC08-0202,,0,,
NC08-0237,,3,,
NC08-0245,,0,,
NC08-0252,,1,,
NC08-0253,0,2,,
NC08-0267,,3,,
NC08-0271,,0,,
NC08-0273,,1,,
NC08-0275,,1,,0
NC08-0275,0,2,,0
NC08-0275,0,1,0,
NC08-0277,,1,,
NC08-0278,,3,,1
NC08-0278,4,3,,2
NC08-0286,,0,,
NC08-0291,,0,,
NC08-0315,,3,,2
NC08-0315,0,4,,3
NC08-0315,2,3,2,0
NC08-0318,,0,,3
NC08-0318,0,0,,
NC08-0320,,1,,
NC08-0323,,0,,
NC08-0328,,1,,1
NC08-0328,3,3,,1
NC08-0328,3,3,2,2
NC08-0329,,0,,0
NC08-0329,3,1,,
NC08-0332,,0,,
NC08-0332,3,1,,
NC08-0343,,1,,
NC08-0352,,3,,
NC08-0366,,1,,
NC08-0366,2,3,,
NC08-0368,,3,,
NC08-0378,0,3,,2
NC08-0379,,3,,3
NC08-0379,0,3,,3
NC08-0393 ,,,,3
NC08-0404 ,,,,3
NC08-0421,,3,,
NC08-0426 ,,,,3
NC08-0427,3,3,,3
NC08-0427,4,3,4,3
NC08-0427 ,,,,4
NC08-0434 ,,,,3
NC08-0435,3,1,2,3
NC08-0435 ,,,,3
NC08-0435 ,2,3,,3
NC08-0435 ,3,1,2,3
NC08-0437 ,,,,2
NC08-0437 ,2,2,,2
NC08-0437 ,3,1,2,3
NC08-0450 ,,,,2
NC08-0460,0,3,,2
NC08-0460,2,1,0,1
NC08-0469,0,3,,
NC08-0469,,,,3
NC08-0469 ,,,,3
NC08-0471,1,3,3,2
NC08-0471,0,4,,
NC08-0482,,2,,2
NC08-0482,0,3,,
NC08-0500,3,3,,3
NC08-0500,3,2,3,3
NC08-0504,4,3,1,2
NC08-0522,,2,,3
NC08-0526,,1,,
NC08-0530,,3,,3
NC08-0538,2,1,,
NC08-0544,,3,,2
NC08-0544,4,3,,3
NC08-0544,4,3,2,3
NC08-0553,,2,,4
NC08-0553,4,3,,3
NC08-0553,3,4,4,3
NC08-0572,,0,,
NC08-0573,4,2,2,
NC08-0573 ,,,,2
NC08-0576,,0,,2
NC08-0576,0,0,,1
NC08-0586,,3,,
NC08-0617,0,0,,
NC08-0652,0,0,,1
NC08-0652,,0,,
NC08-0660,,1,,0
NC08-0660,3,0,,
NC08-0666,,1,,2
NC08-0666,3,3,,
NC08-0675,,3,,
NC08-0696,1,0,,1
NC08-0724,,2,0,
NC08-0733,0,3,,2
NC08-0733,0,2,1,
NC08-0754,0,0,,2
NC08-0754,,1,,3
NC08-0767,4,0,0,
NC08-0767 ,,,,1
NC08-0778,3,0,,2
NC08-0778,,0,,3
NC08-0779,0,3,,3
NC08-0779,,1,,3
NC08-0814,0,3,,2
NC08-0814,2,2,3,
NC08-0822,1,3,,2
NC08-0822,3,3,2,2
NC08-0822,3,2,1,3
NC08-0838,3,0,,1
NC08-0838,,0,,
NC08-0880,,3,,
NC09-0003,0,2,,
NC09-0003,1,3,2,
NC09-0003,0,3,3,3
NC09-0026,0,3,,
NC09-0030,0,0,,
NC09-0033,0,1,,
NC09-0033,1,2,3,3
NC09-0038,,2,,
NC09-0041,,3,,
NC09-0042,,3,,
NC09-0045,,3,,
NC09-0045,4,1,2,
NC09-0046,,0,,
NC09-0056,,2,,
NC09-0059,,3,,
NC09-0088,,3,,
NC09-0099,,3,,
NC09-0099,3,3,2,1
NC09-0101,,1,,
NC09-0101,,1,,
NC09-0107,,3,,
NC09-0109,,3,,
NC09-0110,,3,,
NC09-0111,,1,,2
NC09-0111,,0,,3
NC09-0112,,2,,
NC09-0117,,3,,
NC09-0122,,3,2,2
NC09-0122,3,3,3,2
NC09-0122,3,3,2,3
NC09-0122,4,3,2,2
NC09-0122_ORG1,,3,,
NC09-0124,,0,,
NC09-0125,,2,,
NC09-0126,,3,,
NC09-0126,3,3,2,
NC09-0127,,3,,
NC09-0128,,3,,
NC09-0130,,2,,
NC09-0136,3,3,1,2
NC09-0136,3,2,1,0
NC09-0158,,3,,
NC09-0164,,3,,2
NC09-0164,4,2,3,3
NC09-0164,3,3,3,2
NC09-0165,,3,,2
NC09-0165,3,3,2,0
NC09-0165,4,2,2,2
NC09-0165,4,2,2,3
NC09-0165 clr skin,3,1,2,
NC09-0169,,3,,3
NC09-0175,,3,,
NC09-0178,,2,,1
NC09-0178,1,2,1,3
NC09-0178,2,1,0,0
NC09-0186,,3,,
NC09-0188,,3,,3
NC09-0188,3,4,3,3
NC09-0188,2,4,2,3
NC09-0190,,3,,3
NC09-0190,3,2,2,3
NC09-0191,,1,,0
NC09-0193,,1,,
NC09-0203,,2,,
NC09-0204,,3,3,3
NC09-0204,3,4,2,
NC09-0208,,0,,3
NC09-0208,,1,,3
NC09-0213,,3,,
NC09-0222,,2,,3
NC09-0222,2,1,3,3
NC09-0222,2,2,4,
NC09-0229,,1,,
NC09-0230,,2,,1
NC09-0230,,3,,
NC09-0240,,3,,2
NC09-0240,1,3,1,
NC09-0244,,3,,
NC09-0251,,0,,
NC09-0255,,3,,
NC09-0279,2,1,4,3
NC09-0316,,2,,2
NC09-0344,0,1,3,2
NC09-0344,0,1,2,2
NC09-0348,0,0,1,
NC09-0350,4,2,3,3
NC09-0350,1,2,4,3
NC09-0360,0,1,4,3
NC09-0362,2,1,2,1
NC09-0362,2,1,0,
NC09-0380,3,0,0,
NC09-0385,3,0,1,
NC09-0385,3,1,1,1
NC09-0411,1,3,1,2
NC09-0411,2,3,2,2
NC09-0411,1,4,2,3
NC09-0413,4,2,3,
NC09-0459,,0,,2
NC09-0459,3,2,2,
NC09-0464,,2,,.
NC09-0594,4,1,4,2
NC09-0603,1,1,4,
NC09-0604,1,2,3,
NC09-0609,2,3,2,2
NC09-0609,2,2,1,3
NC09-0614,3,1,3,
NC09-0615,0,2,1,
NC09-0621,1,3,1,2
NC09-0628,2,4,1,2
NC09-0628,1,3,2,2
NC09-0646,,3,,.
NC09-0654,4,0,3,0
NC09-0654,3,0,2,2
NC09-0707,3,2,1,2
NC09-0707,3,0,0,2
NC09-0707,3,0,1,2
NC09-0717,0,2,3,1
NC09-0717,1,1,3,3
NC09-0717,1,2,4,2
NC09-0719,3,3,0,
NC09-0772,4,3,3,3
NC09-0773,0,0,3,2
NC09-0773,0,0,3,
NC09-0789,1,3,2,
NC09-0790,4,1,1,2
NC09-0790,3,3,2,
NC09-0794,0,0,2,3
NC09-0794,,1,,
NC09-0798,1,0,,
NC09-0798,1,1,0,3
NC09-0852,2,1,,
NC09-0854,2,1,,
NC09-0867,2,3,,
NC09-0897,,3,,1
NC09-0911,2,1,,
NC09-0912,3,3,,3
NC09-0912,4,4,1,3
NC09-0915,1,3,,
NC09-0930,,1,3,2
NC09-0930,0,0,,
NC09-0976,,3,2,0
NC09-0976 ,3,3,,1
NC09-0983,,3,,1
NC09-0983,3,3,,
NC09-0993,,2,1,0
NC09-0993 ,3,3,,0
NC09-1004 ,,1,2,0
NC09-1004 ,,0,,0
NC09-1007,3,2,2,1
NC09-1007 ,,3,1,1
NC09-1007 ,4,1,1,2
NC09-1012,,3,,3
NC09-1012A,3,3,2,2
NC09-1012B,2,3,2,2
NC09-1014,3,2,0,1
NC09-1014 ,,3,0,0
NC09-1014 ,4,1,0,2
NC09-1017,,3,,3
NC09-1050 ,,3,3,2
NC09-1050 ,4,3,2,3
NC09-1052 ,,0,2,0
NC09-1052 ,,0,,0
NC09-1056 ,,2,1,1
NC09-1056 ,3,2,0,0
NC09-1060 ,,3,1,0
NC09-1105,4,3,1,3
NC09-1105,3,3,1,3
NC09-1119,3,2,3,3
NC09-1119,4,2,4,1
NC09-1126,2,0,2,
NC09-1126,1,1,1,
NC09-1132,1,1,3,3
NC09-1132,2,2,3,3
NC09-1132,,2,,
NC09-1182,4,2,2,3
NC09-1182,2,2,3,2
NC09-1222,3,3,3,
NC09-1222,3,2,3,2
NC09-1251,,3,,2
NC09-1251,3,2,2,0
NC09-1294,0,1,3,
NC09-1295,3,3,3,
NC09-1302,3,0,0,2
NC09-1302,3,1,0,
NC09-1328,1,1,1,
NC09-1332,4,0,1,
NC09-1339,3,0,0,1
NC09-1355,3,1,1,2
NC09-1360,3,1,0,
NC09-1363,3,0,0,
NC09-1363,4,0,0,
NC09-1367,3,0,0,
NC09-1367,4,0,0,
NC09-1401,4,0,2,2
NC09-1401,3,0,3,
NC10-0016,0,2,0,2
NC10-0016,0,2,0,0
NC10-0025,2,3,,2
NC10-0025,1,3,1,2
NC10-0038,,1,,
NC10-0061,2,2,4,3
NC10-0061,2,3,3,3
NC10-0066,1,0,1,
NC10-0071,0,0,2,
NC10-0073,,2,,
NC10-0094,0,0,3,1
NC10-0097,0,3,3,
NC10-0104,0,3,3,
NC10-0110,1,3,2,
NC10-0115,,1,,3
NC10-0115,0,1,0,
NC10-0118,1,3,2,3
NC10-0118,1,3,1,3
NC10-0118,1,1,3,
NC10-0121,3,3,2,1
NC10-0121,4,2,1,3
NC10-0140,,1,,3
NC10-0140,3,0,3,3
NC10-0140,4,1,2,3
NC10-0141,,2,,3
NC10-0178,3,4,3,
NC10-0184,,2,,
NC10-0214,3,0,1,
NC10-0231,,0,,3
NC10-0234,0,1,0,
NC10-0258,,0,,2
NC10-0258,4,0,2,
NC10-0263,2,2,3,1
NC10-0263,2,0,2,0
NC10-0271,,2,,0
NC10-0272,3,1,2,3
NC10-0272,4,2,1,
NC10-0275,,4,,2
NC10-0280,0,0,3,3
NC10-0280,0,0,2,
NC10-0319,1,1,0,3
NC10-0319,,4,0,
NC10-0344,0,1,3,3
NC10-0344,0,2,1,3
NC10-0344,0,2,3,
NC10-0347,,1,,3
NC10-0352,,2,,1
NC10-0352,3,2,2,
NC10-0357,,3,,3
NC10-0357,3,4,2,3
NC10-0359,1,3,2,3
NC10-0367,3,3,1,2
NC10-0367,3,3,1,
NC10-0375,0,4,2,
NC10-0382,,1,,3
NC10-0382,0,0,3,3
NC10-0382,4,0,3,3
NC10-0401,,3,,
NC10-0402,,3,,2
NC10-0402,3,1,2,3
NC10-0414,,2,,3
NC10-0414,2,3,3,
NC10-0421,3,3,3,3
NC10-0421,3,4,3,
NC10-0433,,2,,2
NC10-0433,3,3,3,2
NC10-0498,0,0,0,0
NC10-0503,1,0,1,2
NC10-0503,0,0,2,0
NC10-0558,,2,,2
NC10-0585,3,1,1,
NC10-0626,3,1,0,
NC10-0647,1,0,2,2
NC10-0647,,0,1,
NC10-0648,,2,,3
NC10-0648,2,2,0,3
NC10-0671,,0,,
NC10-0672,,3,,
NC10-0673,,1,,
NC10-0677,,0,,
NC10-0686,,2,,
NC10-0691,,3,,
NC10-0693,,2,,2
NC10-0693,4,3,1,
NC10-0701,,3,,3
NC10-0701,1,3,0,
NC10-0708,,3,,
NC10-0711,,0,,
NC10-0711,1,0,0,
NC10-0712,,0,,
NC10-0714,4,1,1,2
NC10-0717,,2,,
NC10-0721,1,3,0,3
NC11-0001,0,3,3,
NC11-0002,,0,,
NC11-0010,,1,,
NC11-0014,,3,,
NC11-0018,,3,,
NC11-0021,,2,,
NC11-0028,,4,,
NC11-0031,,2,,
NC11-0036,,1,,
NC11-0040,,0,,
NC11-0041,,2,,1
NC11-0041,2,2,0,
NC11-0057,,2,,1
NC11-0057,3,3,0,
NC11-0064,,1,,2
NC11-0065,,3,,
NC11-0068,,0,,
NC11-0070,,1,,3
NC11-0073,,1,,
NC11-0074,,3,,1
NC11-0074,,3,2,1
NC11-0075,,0,,
NC11-0076,,1,,
NC11-0084,,1,,3
NC11-0085,,0,,
NC11-0088,,1,,
NC11-0097,,3,,1
NC11-0097,0,3,4,
NC11-0109,,1,,2
NC11-0109,0,0,3,
NC11-0120,,3,,1
NC11-0120,0,1,2,
NC11-0135,,2,,3
NC11-0139,,3,,2
NC11-0141,,1,,2
NC11-0144,,4,,
NC11-0146,,4,,
NC11-0167,,3,,2
NC11-0180,,3,,1
NC11-0180,2,1,0,
NC11-0194,,1,,
NC11-0195,,0,,
NC11-0202,,1,,
NC11-0206,,2,,
NC11-0209,,0,,3
NC11-0209,3,0,2,
NC11-0228,,3,,
NC11-0231,,3,,
NC11-0234,,3,,2
NC11-0234,2,3,3,3
NC11-0234,1,4,4,4
NC11-0234,2,3,,3
NC11-0234M10_G2,3,3,,
NC11-0234M19_G2,3,3,,
NC11-0234M9_G2,2,3,,
NC11-0237,,3,,
NC11-0238,,3,,
NC11-0239,,3,,
NC11-0241,,2,,
NC11-0243,,0,,3
NC11-0243,2,0,1,
NC11-0248,,1,,1
NC11-0248,3,0,1,
NC11-0255,,3,,
NC11-0262,,3,,
NC11-0262,3,2,2,
NC11-0263,,0,,
NC11-0265,,1,,
NC11-0265,1,3,0,1
NC11-0266,,2,,
NC11-0267,,3,,
NC11-0268,,1,,
NC11-0274,,3,,
NC11-0275,,0,,
NC11-0275,2,0,2,
NC11-0298,,0,,
NC11-0310,,3,,
NC11-0316,,1,,
NC11-0320,,0,,
NC11-0321,,0,,
NC11-0335,,2,,
NC11-0341,,4,,
NC11-0351,,1,,
NC11-0352,,1,,
NC11-0354,,1,,
NC11-0354,4,0,2,
NC11-0362,,0,,3
NC11-0362,,0,3,
NC11-0370,1,3,3,2
NC11-0370,1,3,3,
NC11-0372,1,3,3,3
NC11-0395,1,3,3,2
NC11-0479,3,2,3,0
NC11-0493,3,2,2,1
NC11-0493,3,1,2,
NC11-0505,4,1,0,
NC11-0508,0,1,2,
NC11-0521,,0,,
NC11-0533,3,1,3,
NC11-0602,,,,0
NC11-0609,4,2,3,2
NC11-0609,,,,0
NC11-0632,0,2,1,3
NC11-0632,1,3,0,
NC11-0641,3,1,3,3
NC11-0641,,2,3,1
NC11-0643,,0,3,
NC11-0655,1,2,2,0
NC11-0655,1,0,2,
NC11-0661,,0,,0
NC11-0714,1,2,1,
NC11-0730,3,0,0,2
NC11-0730,,1,0,1
NC11-0738,0,2,1,
NC11-0761,1,2,1,
NC11-0777,3,0,2,
NC11-0779,3,0,2,
NC11-0786,4,2,1,
NC11-0797,,1,,1
NC11-0797,,1,1,
NC11-0805,4,1,3,3
NC11-0805,,3,3,0
NC11-0805,3,3,3,
NC11-0825,3,0,3,3
NC11-0825,,0,3,2
NC11-0856,3,2,0,
NC11-0863,3,2,3,2
NC11-0863,3,2,1,0
NC11-0863,3,0,2,
NC11-0925,0,0,2,
NC11-0957,3,0,2,
NC11-0959,3,0,2,3
NC11-0959,3,0,1,
NC11-0970,0,2,1,3
NC11-0970,0,1,1,
NC11-0979,2,0,0,
NC11-0980,4,1,2,3
NC11-0980,3,0,1,
NC11-0982,4,4,3,1
NC11-0982,4,3,3,
NC11-0983,3,1,1,2
NC11-0983,4,1,2,
NC11-0999,2,1,2,2
NC11-0999,4,0,1,3
NC11-1000,0,2,3,
NC11-1003,,2,2,
NC11-1004,,0,,1
NC11-1056,4,0,1,
NC11-1078,,0,0,
NC11-1108,4,1,0,0
NC11-1108,4,0,0,
NC11-1152,3,1,0,
NC11-1180,0,0,3,3
NC11-1191,0,0,2,2
NC11-1240,,2,,
NC11-1246,1,3,3,2
NC11-1246,0,2,2,
NC11-1247,,0,,3
NC11-1247,,0,,2
NC11-1250,0,3,3,
NC11-1261,,0,3,
NC11-1264,,2,2,3
NC12-0003,,3,,
NC12-0009,,3,,3
NC12-0011,,0,,
NC12-0026,,1,,
NC12-0029,,3,,3
NC12-0029,0,3,3,
NC12-0029,0,2,4,
NC12-0030,0,1,2,
NC12-0035,,1,,
NC12-0036,,3,,
NC12-0037,,0,,
NC12-0042,,4,,
NC12-0045,,1,,
NC12-0049,,1,,
NC12-0051,,2,,2
NC12-0051,0,1,4,
NC12-0052,,3,,3
NC12-0052,0,3,0,
NC12-0055,,3,,
NC12-0060,,2,,
NC12-0067,,3,,
NC12-0070,,3,,3
NC12-0070,1,4,2,
NC12-0076,,2,,2
NC12-0089,,3,,
NC12-0091,,0,,
NC12-0094,,3,,
NC12-0096,,1,,
NC12-0102,,3,,
NC12-0103,,3,,
NC12-0106,,2,,
NC12-0107,,0,,
NC12-0123,,2,,
NC12-0129,,3,,2
NC12-0134,,0,,
NC12-0137,,0,,
NC12-0140,,3,,
NC12-0151,,0,,
NC12-0165,,0,,
NC12-0168,,1,,
NC12-0187,,4,,
NC12-0188,,3,,1
NC12-0190,,0,,0
NC12-0191,,0,,
NC12-0198,,0,,
NC12-0202,,,,3
NC12-0203,,2,,
NC12-0205,,1,,0
NC12-0209,,0,,
NC12-0212,,0,,0
NC12-0218,,0,,
