Code,Maternal,Paternal
161,(S X B-13),(L84-74 X B-28)
162,(S X B-13),(L84-74 X BL-28)
163,(S X B-13),(REGAL X BL-1)
164,(S X B-13),(W279 X BL-1)
165,(S X BL R5-3),Blackie
166,(S X BL R5-3),(BL X L91-1894)
167,(S X BL R5-3),(S X BL R5-18)
168,(S X BL R5-3),(S X BL0-15)
169,(S X BL R5-4),(93-15 X BL-7)
170,(S X BL R5-4),Blackie
171,(S X BL R5-4),(BL X W268-1)
172,( S X B R5-6),Blackie
173,( S X B R5-7),(REG X BL-1)
174,( S X B R5-12),Blackie
175,( S X B R5-12),(BL X W268-1)
176,( S X B R5-12),(S X BR7-11)
177,( S X B R5-13),(93-15 X BL-7)
178,( S X B R5-13),Blackie
179,( S X B R5-13),(B X L84-74-2)
180,( S X B R5-16),(L84-74 X BL-28)
181,( S X B R5-16),(REG X BL-1)
182,(S X BL R5-18),(93-15 X BL-7)
183,(S X BL R5-18),(93-15 X BL-2)
184,(S X BL R5-18),Blackie
185,(S X BL R5-18),(L84 X BL-28)
186,(S X BL R5-19),(93-15 X BL-7)
187,(S X BL R5-19),(BL X 93-95-2)
188,(S X BL R5-19),(BL X L84-74-2)
189,(S X BL R5-19),(L84-74 X BL-8)
190,(S X BL R5-19),(L84-74 X BL-28)
191,(S X B R6-1),Blackie
192,(S X BL R6-2),(93-15 X BL-7)
193,(S X B R6-2),Blackie
194,(S X B R6-2),(L84-74 X BL-28)
195,(S X B R6-10),Blackie
196,(S X BL R6-12),Blackie
197,(S X B R6-15),(93-15 X BL-1)
198,(S X B R6-15),(93-15 X B-3)
199,(S X BL R6-15),(93-15 X BL-7)
200,(S X B R6-15),Blackie
201,(S X B R6-15),(SX B R5-13)
202,(S XBL R7-1),(93-15 X BL-7)
203,(S XBL R7-1),Blackie
204,(S XBL R7-1),(BL X 91-189)
205,(S XBL R7-1),(W248 X BL-3)
206,(S XBL R7-1),(W248 X BL-4)
207,(S X B R7-3),(REGAL X BL-1)
208,(S X BR7-7),(93-15 X BL-7)
209,(S X B R7-9),(REGAL X BL-1)
210,(S X B R7-11),(93-15 X BL-7)
211,(S X B R7-11),Blackie
212,(S X B R7-11),(BL X L91-189-1)
213,(S X B R7-11),(BL X W268-1)
214,(S X B R7-11),(L84-74 X BL-28)
215,(S X B R7-14),(_84-74 X BL-28)
216,(S X B R7-14),(REG X BL-1)
217,(S X B R7-14),(W201 X BL-1)
218,(S X B R7-20),(S X B R7-15)
219,(S X B R7-21),(L84-74 X BL-2)
220,(S X B R7-21),(L84-74 X BL-28)
221,(S X B R7-21),(REGAL X BL-1)
222,(S X B R7-21)       ,(REGAL X BL-1)
223,(S X B R7-22),(L84-74 X B-28)
224,(S X B R7-25),(S X B R7-15)
225,(S X B R7-26),(REG X BL-1)
226,(S X B R7-28),Blackie
227,(S X B R7-30),(BL X L84-74-2)
228,(S X B R7-34),(BL X W268-1)
229,(S X B R7-34),Blackie
230,(S X B R7-34),(BL X L84-74-2)
231,(S X B R7-34),(BL X W268-1)
232,(S X B R7-34),(L84-72 X BL-28)
233,(S X B R7-36),(93-15 X BL-7)
234,(S X B R7-36),Blackie
235,(S X B R7-36),(L84-74 X BL-28)
236,(S X B R7-39),(BL X L91-189-1)
237,(S X B R7-39),(BL X 268-1)
238,(S X B R7-39),(L84-74 X BL-8)
239,(S X B R7-40),(L84-74 X BL-28)
240,(S X B R7-40),(W248 X BL-4)
241,(S X B R7-42),(BL X L91-189-1)
242,(S X B R7-43),(BL X L84-74-2)
243,(S X B R7-43),(L84-74 X BL-28)
244,(S X B R7-43),(S X BL R7-1)
245,(S X B R7-43),(REG X BL-1)
246,(S X B R7-43),(W201 X BL-1)
247,(S X B R7-44),Blackie
248,(S X B R7-44),(S X B R5-18)
249,(S X B R7-42),(93-15 X BL-7)
250,(S X B R7-42),(S X B R6-15)
251,(S X B R7-52),Blackie
252,(S X B R7-52),(BL X L84-74-2)
253,(S X B R7-52),(BL X L91-189-1)
254,(S X B R7-52),(S X B R5-18)
255,(S X B R7-58),(BL X L91-189-1)
256,(W201 X BL-1),Blackie
257,(W201 X BL-1),(L84-74 X BL-28)
258,(W201 X BL-1),(SO DEL X BL-9)
259,(W201 X BL-1),(W248 X BL-4)
260,(W235 X BL-3),Blackie
261,(W235 X BL-3),(BL X 93-95-2)
262,(W235 X BL-3),(W201 X BL-1)
263,(W235 X BL-4),Blackie
264,(W235 X BL-6),(L84-74 X BL-14)
265,(W248 X BL-3),Blackie
266,(W248 X BL-4),(S X B R7-1)
267,(W248 X BL-4),(W201 X BL-1)
268,(W279 X BL-1),Blackie
269,(W279 X BL-1),(REG X BL-1)
270,(W279 X BL-1),(SO DEL X BL-1)
271,7-1,138-1
272,14-1,125-1
273,14-1,126-1
274,14-1,136-3
275,14-1,138-1
276,14-1,138-3
277,14-1,187-1
278,14-1,Promesa
279,14-1,(S X B R5-18)
280,14-1,Vilca Romero
281,14-1,(W279 X Bl-1)
282,15-1,136-3
283,15-1,138-1
284,15-1,138-3
285,15-1,152-8
286,15-1,187-1
287,15-1,Promesa
288,15-1,(S X B R5-18)
289,15-1,Vilca Romero
290,15-1,(W279 X Bl-1)
291,15-2,136-3
292,15-2,136-4
293,15-2,143-1
294,15-2,Blackie
295,15-2,(S X B R5-18)
296,15-2,NA
297,15-2,Vilca Romero
298,30-2,187-1
299,30-2,268-1
300,90-1,NA
301,97-1,72-1
302,97-1,187-1
303,97-1,Vilca Romero
304,102-1,126-1
305,102-1,138-3
306,102-1,DW8
307,102-1,NA
308,102-1,Vilca Romero
309,102-1,W275
310,111-1,102-1
311,111-1,125-1
312,111-1,126-1
313,111-1,138-1
314,111-1,138-3
315,111-1,268-1
316,111-1,Blackie
317,111-1,DW8
318,111-1,Promesa
319,111-1,(S X B R5-18)
320,125-1,90-1
321,125-1,102-1
322,125-1,Blackie
323,125-1,DW8
324,125-1,(S X B R5-18)
325,125-1,NA
326,125-1,W275
327,125-1,(W279 X Bl-1)
328,126-1,102-1
329,126-1,143-1
330,126-1,(W279 X Bl-1)
331,133-1,(S X B R5-18)
332,136-3,138-1
334,136-3,152-8
335,136-4,138-1
336,136-4,138-3
337,136-5,138-1
338,136-5,(S X B R5-18)
339,138-1,15-1
340,138-1,136-3
341,138-1,136-4
342,138-1,146-1
343,138-1,Blackie
344,138-3,14-1
345,138-3,102-1
346,138-3,126-1
347,138-3,136-4
348,138-3,143-1
349,138-3,152-8
350,138-3,Sulfur
351,138-3,(S X B R5-18)
352,138-3,NA
353,138-3,Vilca Romero
354,143-1,138-3
355,143-1,152-8
356,143-1,(P8 X B-2)
357,143-1,Sulfur
358,146-1,152-8
359,149-1,138-3
360,149-1,143-1
361,152,(W279 X B-1)
362,152-7,136-3
363,152-8,136-4
364,152-8,138-1
365,152-8,138-3
366,152-8,146-1
367,152-8,187-1
368,152-8,Blackie
369,152-8,(S X B R5-18)
370,182-1,CN136-72
371,187-1,102-1
372,187-1,136-4
373,187-1,(S X B R5-18)
374,206-1,187-1
375,206-1,W275
376,206-1,(W279 X B-1)
377,268-1,187-1
378,Blackie,111-1
379,Blackie,125-1
380,Blackie,DW8
381,NA,NA
382,Carolina Bunch,14-1
383,Carolina Bunch,15-1
384,Carolina Bunch,102-1
385,Carolina Bunch,126-1
386,Carolina Bunch,138-3
387,Carolina Bunch,Blackie
388,Carolina Bunch,Sulfur
389,Carolina Bunch,(S Del X BL-2)
390,Carolina Bunch,NA
391,Carolina Bunch,(W279 X Bl-1)
392,CN1367-2,125-1
393,CN1367-2,(W279 X Bl-1)
394,L84-74,14-1
395,L84-74,15-1
396,L84-74,102-1
397,L84-74,125-1
398,L84-74,126-1
399,L84-74,138-1
400,L84-74,138-3
401,L84-74,242
402,L84-74,Blackie
403,L84-74,CN1367-2
404,L84-74,(S Del X BL-2)
405,L84-74,(S X B R5-18)
406,L84-74,Vilca Romero
407,L84-74,(W279 X Bl-1)
408,L84-74 S1-1,102-1
409,L91-80,Blackie
410,L91-80,Vilca Romero
411,L91-80,(W279 X Bl-1)
412,LM87045,126-1
413,LM87045,143-1
414,LM87045,182-1
415,LM87045,187-1
416,LM87045,Promesa
417,NA,NA
418,Promesa,Blackie
419,Sulfur,14-1
420,Sulfur,15-1
421,Sulfur,90-1
422,Sulfur,102-1
423,Sulfur,125-1
424,Sulfur,126-1
425,Sulfur,136-3
426,Sulfur,136-4
427,Sulfur,138-1
428,Sulfur,138-3
429,Sulfur,143-1
430,Sulfur,146-1
431,Sulfur,152-8
432,Sulfur,187-1
433,Sulfur,206-1
434,Sulfur,268-1
435,Sulfur,Blackie
436,Sulfur,Carolina Bunch
437,Sulfur,DW8
438,Sulfur,Promesa
439,Sulfur,(S X B R5-18)
440,Sulfur,(S X BR6-1)
441,Sulfur,NA
442,Sulfur,Vilca Romero
443,Sulfur,W248
444,Sulfur,W275
445,Sulfur,(W279 X Bl-1)
446,Soff,125-1
447,Soff,268-1
448,Soff,Blackie
449,Soff,(S X BR5-18)
450,Soff,Vilca Romero
451,(S X BR5-18),14-1
452,(S X BR5-18),102-1
453,(S X BR5-18),125-1
454,(S X BR5-18),126-1
455,(S X BR5-18),P8 X B-2A
456,(S X BR5-18),Sulfur
457,(S X BR5-18),Vilca Romero
458,(S X BR6-1),Sulfur
459,Vilca Romero,15-1
460,Vilca Romero,102-1
461,Vilca Romero,Promesa
462,Vilca Romero,(W279 X Bl-1)
463,W248,102-1
464,W275,102-1
465,(W279 X BL-1),102-1
466,(W279 X BL-1),Promesa
467,(W279 X BL-1),Sulfur
468,(W279 X BL-1),W275
469,Promesa,14-1
470,Blackie,99
471,Blackie,Beauregard
472,Blackie,Darby
473,Blackie,Hernandez
474,Blackie,Pope
475,Blackie,Southern Delite
476,Blackie,Sulfur
477,Blackie,NA
478,Blackie,W271
479,93-15,Blackie
480,DW8,Blackie
481,L84-74,Blackie
