Code,Maternal,Paternal
3077,1646,NA
3078,1646,976-1
3079,1646,1644
3080,1646,1650
3081,1646,N39
3082,1646,NA
3083,1646,NA
3084,1646,NA
3085,1646-28N,1082-5
3086,1646-28N,1201-1
3087,1646-28N,1519-1
3088,1646-28N,K9
3089,1646-28N,N29
3090,1646-28N,N31
3091,1646-28N,N32
3092,1646-28N,N39
3093,1646-28N,NA
3094,1646-28N,Pink Frost
3095,1646-28N,Sulfur
3096,1646-28N,NA
3097,1647,851-2
3098,1647,874-9
3099,1647,888-2
3100,1647,908-14
3101,1647,1081-2
3102,1647,1201-1
3103,1647,1358-2
3104,1647,1519-1
3105,1647,1646-28N
3106,1647,1664-1N
3107,1647,1835-1V
3108,1647,N24
3109,1647,N35
3110,1647,N36
3111,1647,N39
3112,1647,N45
3113,1647,Sulfur
3114,1647,0439-006
3115,1647,NA
3116,1649,881-1
3117,1649,N31
3118,1649,NA
3119,1649,N36-1
3120,1649-15N,NA
3121,1649,1644
3122,1649,1646
3123,1649,1646-28N
3124,1649,N36-1
3125,1649,NA
3126,1650,874-9
3127,1650,1080-7
3128,1650,1187-1
3129,1650,1200-1
3130,1650,1644-32N
3131,1650,1645
3132,1650,1650
3133,1650,1654
3134,1650,1662
3135,1650,1739
3136,1650,1759
3137,1650,N35
3138,1650,N39
3139,1650,N51
3140,1650,NA
3141,1650,851
3142,1650,1644-32N
3143,1650,1765
3144,1650,1765
3145,1650,K9
3146,1650,N35
3147,1650,NA
3148,1650,Pink Frost
3149,1650,NA
3150,1651,1200-1
3151,1651,Sulfur
3152,1651,NA
3153,1651,NA
3154,1651,915-7
3155,1651,N49
3156,1652-5,Pink Frost
3157,1652-9N,1519-1
3158,1652-9N,1526-2
3159,1652-9N,1650
3160,1652-9N,NA
3161,1654,1650
3162,1654,1662
3163,1654,1693
3164,1654,N35
3165,1654,N40
3166,1654,NA
3167,1655,1650
3168,1655,N35
3169,1655,NA
3170,1655,NA
3171,1655,NA
3172,1655,N35
3173,1655,NA
3174,1659,1519-1
3175,1659,1662
3176,1659,1686
3177,1659,1693
3178,1659,N35
3179,1659,N49
3180,1659,NA
3181,1660,NA
3182,1662,1438-2
3183,1662,1659
3184,1662,N36-1
3185,1662,NA
3186,1664-1N,874-9
3187,1664-1N,1187-1
3188,1664-1N,1358-2
3189,1664-1N,1519-1
3190,1664-1N,1647
3191,1664-1N,1765
3192,1664-1N,K9
3193,1664-1N,N40
3194,1664-1N,NA
3195,1667,1519-1
3196,1667,NA
3197,1674,NA
3198,1675,1650
3199,1684,NA
3200,1684,NA
3201,1686,1358-2
3202,1686,1645
3203,1686,1718-1N
3204,1686,1734
3205,1686,1739
3206,1686,1765
3207,1686,N25
3208,1686,NA
3209,1687,NA
3210,1687,NA
3211,1693,874-9
3212,1693,1358-2
3213,1693,1645
3214,1693,1662
3215,1693,1664-1N
3216,1693,1666
3217,1693,1729
3218,1693,N45
3219,1693,NA
3220,1693,Sulfur
3221,1694,NA
3222,1695,NA
3223,1695,NA
3224,1709,NA
3225,1713,NA
3226,1716,675-6
3227,1716,1644-32N
3228,1716,1645
3229,1716,1659
3230,1716,1664-1N
3231,1716,1729
3232,1716,N35
3233,1716,N39
3234,1716,NA
3235,1718-1N,1668
3236,1718-1N,1686
3237,1718-1N,NA
3238,1726,NA
3239,1728,NA
3240,1729,N40
3241,1729,NA
3242,1729,1652-9N
3243,1729,1664-1N
3244,1729,1693
3245,1729,1709
3246,1729,N39
3247,1729,N40
3248,1729,NA
3249,1729,1455-1
3250,1729,1465-1
3251,1729,1519-1
3252,1729,1650
3253,1729,1765
3254,1729,Minamiyutaka
3255,1729,N28
3256,1729,N35
3257,1729,N39
3258,1729,NA
3259,1734,N51
3260,1734,NA
3261,1736,915-9
3262,1736,NA
3263,1739,881-1
3264,1739,1519-1
3265,1739,1664-1N
3266,1739,1686
3267,1739,N39
3268,1739,NA
3269,1748-2N,881-1
3270,1748-2N,1559-1
3271,1748-2N,1643
3272,1748-2N,1643
3273,1748-2N,1650
3274,1748-2N,N35
3275,1748-2N,N51
3276,1748,NA
3277,1754,1080-7
3278,1754,1519-1
3279,1754,1650
3280,1754,NA
3281,1757,1739
3282,1757,N51
3283,1757,NA
3284,1759,915-7
3285,1759,NA
3286,1759,1187-1
3287,1759,NA
3288,1760,1659
3289,1760,NA
3290,1762,NA
3291,1765,1519-1
3292,1765,1650
3293,1765,1686
3294,1765,N39
3295,1765,NA
3296,1835-1V,1080-5
3297,1835-1V,Pink Frost
3298,1851-1,N35
3299,1863-3,779-23
3300,1863-3,888-2
3301,1863-3,1080-5
3302,1863-3,1835-1V
3303,1863-3,1869-1
3304,1863-3,1925-87
3305,1863-3,1879-1
3306,1863-3,2601-1
3307,1863-3,2603-10
3308,1863-3,2605-8
3309,1863-3,N28
3310,1863-3,N29
3311,1863-3,Sulfur
3312,1863-3,NA
3313,1925-9,2605-8
3314,1925-9,NA
3315,1928-9,1090-2
3316,1928-9,1519-1
3317,1928-9,N24
3318,1928-9,N35
3319,1928-9,Pink Frost
3320,1928-9,Sulfur
3321,1928-9,NA
3322,2603-10,1925-9
3323,2605-8,1925-9
3324,394 01 BM-1,NA
3325,Beau 98SSR-S,Okinawa
3326,Beau 98SSR-S,NA
3327,Blackie,NA
3328,133,136-4
3329,133,146-1
3330,133,CIP199050-2
3331,133,SxBr5-18
3332,C1P99050-2,0439-006
3333,C1P99050-2,133
3334,C1P99050-3,NA
3335,CN1367-2,163-1
3336,DW8,NA
3337,Excel 01SSR-1,666
3338,K9,675-6
3339,K9,685-6
3340,K9,707-2
3341,K9,888-2
3342,K9,1090-2
3343,K9,1201-1
3344,K9,1376-4
3345,K9,1519-1
3346,K9,1650
3347,K9,1662
3348,K9,1664-1N
3349,K9,1729
3350,K9,1863-3
3351,K9,N24
3352,K9,N49
3353,K9,Pink Frost
3354,K9,NA
3355,L94-96 Del-1,666
3356,LM87045,163-1
3357,N1,666
3358,N1,1649
3359,N1,NA
3360,N2,NA
3361,2,NA
3362,4,327-1
3363,4,NA
3364,4,NA
3365,N9,N1
3366,N9,2
3367,N9,N35
3368,N13,710
3369,N13,NA
3370,13,1252-1
3371,13,1748-2N
3372,13,NA
3373,N-17,NA
3374,N24,N35
3375,N24,1519-1
3376,N24,Pink Frost
3377,N24,NA
3378,N25,1519-1
3379,N25,Pink Frost
3380,N27,N49
3381,N27,NA
3382,N28,915-7
3383,N28,1080-5
3384,N28,1201-1
3385,N28,1646-28N
3386,N28,1835-1V
3387,N28,1863-3
3388,N28,2601-1
3389,N28,N35
3390,N28,Sulfur
3391,N28,NA
3392,N29,881-1
3393,N29,1646-28N
3394,N29,NA
3395,N31,337-9
3396,N31,775-1
3397,N31,775-1 OP
3398,N31,881-1
3399,N31,1080-5
3400,N31,1081-2
3401,N31,1082-5
3402,N31,1201-1
3403,N31,1465-1
3404,N31,1519-1
3405,N31,NA
3406,N31,1646-28N
3407,N31,1835-1V
3408,N31,N29
3409,N31,NA
3410,N31,NA
3411,N32,1646-28N
3412,N32,1649
3413,N32,1807-2
3414,N32,N40
3415,N32,NA
3416,N33,1645
3417,N35,96-61
3418,N35,675-6
3419,N35,795-2
3420,N35,851
3421,N35,860-18
3422,N35,869-13
3423,N35,910
3424,N35,915-7
3425,N35,915-9
3426,N35,926-2
3427,N35,1455-1
3428,N35,1519-1
3429,N35,1581-1
3430,N35,1644-32N
3431,N35,1645
3432,N35,1647
3433,N35,1748-2N
3434,N35,1928-9
3435,N35,K9
3436,N35,N24
3437,N35,N28
3438,N35,1666
3439,N35,N36-1
3440,N35,N39
3441,N35,N45
3442,N35,N50
3443,N35,Pink Frost
3444,N35,NA
3445,N35P,NA
3446,N36,915-7
3447,N36,1666
3448,N36,NA
3449,N36-1,1645
3450,N36-1,1687-5
3451,N36-1,1729
3452,N36-1,N35
3453,N36-3,1645-30
3454,N36-3,N37-1
3455,N37,1650
3456,N37,1748-2N
3457,N37,13
3458,N37,N24
3459,N37,N37-1
3460,N37,NA
3461,N37-1,915-7
3462,N37-1,1659
3463,N37-1,N36-1
3464,N37-1,N37
3465,N39,337-9
3466,N39,848-6
3467,N39,1519-1
3468,N39,1645
3469,N39,1765
3470,N39,K9
3471,N39,N40
3472,N39,N45
3473,N40,922-2
3474,N40,1644-32N
3475,N40,1645
3476,N40,1664-1N
3477,N40,1739
3478,N40,N39
3479,N40,NA
3480,N42,NA
3481,N45,710
3482,N45,851
3483,N45,1427-1
3484,N45,1519-1
3485,N45,1647
3486,N45,1664-1N
3487,N45,1736
3488,N45,N28
3489,N45,N35
3490,N45,N39
3491,N45,N40
3492,N45,NA
3493,N45,Pink Frost
3494,N49,675-6
3495,N49,874-9
3496,N49,915-7
3497,N49,1080-5
3498,N49,1647
3499,N49,1659
3500,N49,1686
3501,N49,1729
3502,N49,1863-3
3503,N49,N24
3504,N49,N28
3505,N49,N35
3506,N49,N40
3507,N49,NA
3508,N50,N35
3509,N50,NA
3510,N51,649-3
3511,N51,1650
3512,N51,1651
3513,N51,1726
3514,N51,NA
3515,NC1,439-10
3516,NS1,125-1
3517,NS1,466
3518,NS1,690
3519,Okinawa,NA
3520,PDM P3,146-1
3521,Pink Frost,439-5
3522,Pink Frost,624-3
3523,Pink Frost,645
3524,Pink Frost,666
3525,Pink Frost,874-9
3526,Pink Frost,1526-2
3527,Pink Frost,1645
3528,Pink Frost,1664-1N
3529,Pink Frost,1928-9
3530,Pink Frost,N24
3531,Pink Frost,N35
3532,Pink Frost,Okinawa
3533,Pink Frost,Sulfur
3534,Pink Frost,NA
3535,Pink Frost Green,645
3536,SD00SSR,439-10
3537,0439-006,133-1
3538,0439-006,136-4
3539,0439-006,146-1
3540,0439-006,562
3541,Sweet Caroline Light Green,BR133
3542,Sulfur,163-1
3543,Sulfur,775-1
3544,Sulfur,1519-1
3545,Sulfur,1647
3546,Sulfur,1659
3547,Sulfur,1928-9
3548,Sulfur,Carogold
3549,Sulfur,K9
3550,Sulfur,N24
3551,Sulfur,N28
3552,Sulfur,N35
3553,Sulfur,N49
3554,Sulfur,NA
3555,Sulfur,Pink Frost
3556,Sulfur,(S X B R5-18)
3557,Sulfur,W272
3558,(S X B R5-18),NA
3559,NA,675-6
3560,NA,795-2
3561,NA,1410-1
3562,NA,1526-2
3563,NA,1645
3564,NA,1709
3565,NA,NA
3566,NA,675-6
3567,NA,910
3568,NA,1080-5
3569,NA,1081-2
3570,NA,NA
3571,NA,NA
3572,NA,1644-32N
3573,NA,1672
3574,NA,NA
3575,Unknown 2003,NA
3576,W272,163-1
3577,707-1,888-2
3578,782-1,N49
3579,1080-5,N28
3580,1863-3,364-23
3581,1863-3,2204-4
3582,N28,1835-1V
3583,1866-7,2420-1
3584,1866-10,1912-16
3585,1866-10,1928-14
3586,1925-9,2420-1
3587,1925-9,2648-3
3588,1926-39,2420-1
3589,1932-2,1928-14
3590,2204-4,364-23
3591,2349-1,2420-1
3592,2420-1,1863-3
3593,Sulfur,N35
3594,0439-006,N35
3595,NA,NA
4000,1092-2,NA
4001,1857-1,NA
4002,1859-1,NA
4003,1859-19,NA
4004,1892-2,NA
4005,1925-18,NA
4006,1925-28,NA
4007,1925-35,NA
4008,1925-37,NA
4009,1925-61,NA
4010,1925-67,NA
4011,1925-76,NA
4012,1925-84,NA
4013,1925-88,NA
4014,1925-91,NA
4015,1925-100,NA
4016,1926-1,NA
4017,1926-10,NA
4018,1926-19,NA
4019,1926-27,NA
4020,1931-17,NA
4021,2349-1,NA
4022,2394-4,NA
4023,2544-1,NA
4024,2597-6,NA
4025,2605-8,NA
4026,2619-71,NA
4027,2619-87,NA
4028,2619-96,NA
4029,2624-15,NA
4030,2648-3,NA
4031,2648-24,NA
4032,2919-66,NA
4033,N35,NA
4034,N35P,NA
4035,NA,NA
4036,03-445,2591-3
4037,138-1,337-70
4038,138-1,1080-18
4039,138-1,1646-28N
4040,138-1,1928-1
4041,138-1,1928-9
4042,342-17,1830-1
4043,364-23,1928-14
4044,562,1928-1
4045,675-6,1081-2
4046,675-6,1646-28N
4047,675-6,1863-3
4048,675-6,N28
4049,675-6,N31
4050,707-1,869-13
4051,707-1,888-2
4052,707-1,1081-2
4053,707-1,1084-5
4054,707-1,1358-2
4055,707-1,1376-7
4056,707-1,1645
4057,707-1,1664-1N
4058,707-1,1830-1
4059,707-1,1928-9
4060,707-1,Sulfur
4061,707-2,1084-5
4062,707-2,1664-1N
4063,707-2,1645
4064,778-1,675-6
4065,778-1,1080-5
4066,778-1,1201-1
4067,778-1,1646-28N
4068,778-1,1863-3
4069,778-1,N28
4070,778-1,N31
4071,795-5,N28
4072,845-3,1651
4073,845-3,N49
4074,845-51,1928-1
4075,857-2,1645
4076,857-2,1664-1N
4077,866-5,1645
4078,869-13,883-1
4079,869-13,1081-2
4080,869-13,1928-9
4081,874-9,1647
4082,874-9,1664-1N
4083,883-1,1081-2
4084,888-2,1084-5
4085,888-2,1358-2
4086,888-2,1645
4087,888-2,1647
4088,888-2,1664-1N
4089,915-7,851
4090,953-1,869-13
4091,953-1,883-1
4092,953-1,1080-18
4093,953-1,1358-2
4094,953-1,1928-9
4095,953-36,138-1
4096,953-36,967-5
4097,966-6,869-13
4098,967-5,138-1
4099,967-5,888-2
4100,967-5,953-36
4101,967-5,1080-7
4102,967-5,1080-18
4103,967-5,1835-01
4104,967-5,1863-3
4105,967-5,1925-88
4106,967-5,1928-1
4107,967-5,2279-1
4108,967-5,N35
4109,967-5,Sulfur
4110,1080-5,N31
4111,1080-7,138-1
4112,1080-7,337-70
4113,1080-7,675-6
4114,1080-7,953-36
4115,1080-7,1080-18
4116,1080-7,1646-28N
4117,1080-7,N35
4118,1080-7,NA
4119,1080-7,Sulfur
4120,1080-18,138-1
4121,1080-18,1645
4122,1080-18,1928-1
4123,1080-18,Sulfur
4124,1081-2,869-13
4125,1081-2,1358-2
4126,1081-2,1645
4127,1084-5,707-2
4128,1084-5,888-2
4129,1084-5,1376-7
4130,1084-5,1577-1
4131,1084-5,1645
4132,1084-5,1647
4133,1084-5,1664-1N
4134,1084-5,1863-3
4135,1084-5,Sulfur
4136,1090-2,874-9
4137,1090-2,1651
4138,1090-2,1928-1
4139,1201-1,138-1
4140,1201-1,1863-3
4141,1310-2,1081-2
4142,1310-2,1645
4143,1320-1,953-36
4144,1320-1,1928-1
4145,1320-1,2279-1
4146,1320-1,2591-1
4147,1320-1,2591-2
4148,1358-2,1645
4149,1358-2,1664-1N
4150,1358-2,1928-9
4151,1358-2,N49
4152,1376-7,1647
4153,1376-7,1664-1N
4154,1410-1,1090-2
4155,1410-1,1581-1
4156,1410-1,1651
4157,1410-1,N49
4158,1433-1,1519-1
4159,1433-1,N35
4160,1519-1,1830-1
4161,1519-1,N35
4162,1577-1,1084-5
4163,1577-1,1581-1
4164,1577-1,1645
4165,1577-1,1664-1N
4166,1577-1,1928-1
4167,1581-1,N24
4168,1645,874-9
4169,1645,Sulfur
4170,1646-22,1764-1
4171,1646-28N,138-1
4172,1646-28N,675-6
4173,1646-28N,1201-1
4174,1646-28N,1664-1N
4175,1646-28N,1835-01
4176,1646-28N,2279-1
4177,1646-28N,N28
4178,1646-28N,N31
4179,1646-28N,OK-2
4180,1647,707-2
4181,1647,866-5
4182,1647,874-9
4183,1647,888-2
4184,1647,1358-2
4185,1651,915-7
4186,1651,1084-5
4187,1651,1410-1
4188,1651,1433-1
4189,1651,1830-1
4190,1651,1928-1
4191,1651,N35
4192,1664-1N,707-2
4193,1664-1N,866-5
4194,1664-1N,874-9
4195,1664-1N,888-2
4196,1664-1N,953-36
4197,1664-1N,1080-18
4198,1664-1N,1084-5
4199,1664-1N,1358-2
4200,1664-1N,1645
4201,1664-1N,1646
4202,1664-1N,1764-1
4203,1664-1N,1835-01
4204,1664-1N,1863-3
4205,1664-1N,OK-2
4206,1664-1N,Sulfur
4207,1729,1519-1
4208,1729,1651
4209,1729,1928-1
4210,1729,N49
4211,1830-1,1928-9
4212,1835-1V,1080-5
4213,1835-1V,1080-18
4214,1835-1V,1863-3
4215,1835-1V,N28
4216,1835-1V,N31
4217,1863-3,364-23
4218,1863-3,675-6
4219,1863-3,795-5
4220,1863-3,1080-5
4221,1863-3,1080-7
4222,1863-3,1201-1
4223,1863-3,1646-28N
4224,1863-3,1664-1N
4225,1863-3,1835-01
4226,1863-3,1925-88
4227,1863-3,1928-17
4228,1863-3,N28
4229,1863-3,N31
4230,1863-3,N35
4231,1863-3,OK-2
4232,1863-3,NA
4233,1863-3,Sulfur
4234,1865-1,1926-19
4235,1866-7,1926-19
4236,1866-7,2648-14
4237,1866-7,NA
4238,1866-10,364-23
4239,1866-10,1912-16
4240,1912-16,1928-14
4241,1923-3,364-23
4242,1925-9,2420-1
4243,1925-9,2648-3
4244,1925-88,98-608
4245,1925-88,697
4246,1925-88,1651
4247,1925-88,1863-3
4248,1925-88,2591-3
4249,1925-88,N35
4250,1925-88,OK-2
4251,1925-88,Sulfur
4252,1925-Q,1859-21
4253,1925-Q,2420-1
4254,1925-Q,2607-8
4255,1926-1,2643-15
4256,1926-19,1865-1
4257,1926-35,1925-9
4258,1926-39,2420-1
4259,1926-46,1926-1
4260,1928-1,138-1
4261,1928-1,562
4262,1928-1,915-7
4263,1928-1,953-36
4264,1928-1,953-61
4265,1928-1,1080-7
4266,1928-1,1090-2
4267,1928-1,1320-1
4268,1928-1,1651
4269,1928-1,1835-01
4270,1928-1,2279-1
4271,1928-1,2591-1
4272,1928-1,2591-2
4273,1928-1,2591-3
4274,1928-1,N49
4275,1928-1,OK-2
4276,1928-1,0439-006 Lime
4277,1928-9,138-1
4278,1928-9,869-1
4279,1928-9,869-13
4280,1928-9,966-6
4281,1928-9,1081-2
4282,1928-9,1830-1
4283,1928-9,NA
4284,1928-9,Sulfur
4285,1928-14,138-1
4286,1928-14,364-23
4287,1928-14,562
4288,1928-14,1080-7
4289,1928-14,1090-2
4290,1928-14,1320-1
4291,1928-14,1835-01
4292,1928-14,2279-1
4293,1928-14,2591-1
4294,1928-14,2591-2
4295,1928-14,2591-3
4296,1928-14,0439-006 Lime
4297,1928-17,1645
4298,1928-17,N35
4299,1928-17,OK-2
4300,1932-3,364-23
4301,1932-3,1928-14
4302,2204-4,364-23
4303,2279-1,953-36
4304,2279-1,1320-1
4305,2279-1,1928-1
4306,2279-1,2591-1
4307,2279-1,2591-2
4308,2279-1,2591-3
4309,2279-1,OK-2
4310,2420-1,1863-3
4311,2420-1,N35
4312,2420-1,OK-2
4313,2591-1,96-27
4314,2591-1,98-608
4315,2591-1,562
4316,2591-1,697
4317,2591-1,1090-2
4318,2591-1,1320-1
4319,2591-1,1364-1
4320,2591-1,1516-9
4321,2591-1,1925-88
4322,2591-1,1928-1
4323,2591-1,2279-1
4324,2591-1,OK-2
4325,2591-2,1090-2
4326,2591-2,1320-1
4327,2591-2,1928-1
4328,2591-2,1928-14
4329,2591-2,2279-1
4330,2591-3,96-27
4331,2591-3,98-608
4332,2591-3,03-445
4333,2591-3,697
4334,2591-3,1090-2
4335,2591-3,1320-1
4336,2591-3,1364-1
4337,2591-3,1655
4338,2591-3,1925-88
4339,2591-3,1928-1
4340,2591-3,1928-14
4341,2591-3,2279-1
4342,2591-3,N24
4343,2643-15,1863-2
4344,2643-15,1925-28
4345,2648-14,1926-29
4346,2648-14,1926-39
4347,N28,675-6
4348,N28,1080-5
4349,N28,1201-1
4350,N28,1646-28N
4351,N28,1835-01
4352,N28,1863-3
4353,N29,675-6
4354,N29,1646-28N
4355,N31,675-6
4356,N31,1201-1
4357,N31,1835-01
4358,N31,1863-3
4359,N31,N28
4360,N35,96-61
4361,N35,337-70
4362,N35,953-36
4363,N35,953-61
4364,N35,1080-18
4365,N35,1084-5
4366,N35,1433-1
4367,N35,1519-1
4368,N35,1664-1N
4369,N35,1835-01
4370,N35,1859-9
4371,N35,1863-3
4372,N35,1925-88
4373,N35,1928-1
4374,N35,1928-17
4375,N35,2420-1
4376,N35,OK-2
4377,N35,NA
4378,N35,Sulfur
4379,N39,NA
4380,N46,96-61
4381,N46,DM01-022
4382,N49,915-7
4383,N49,1080-5
4384,N49,1358-2
4385,N49,1410-1
4386,N49,1729
4387,OK-2,138-1
4388,OK-2,953-36
4389,OK-2,1645
4390,OK-2,1835-01
4391,OK-2,1925-88
4392,OK-2,1928-17
4393,OK-2,2279-1
4394,OK-2,N35
4395,Okinawa,126-1
4396,Okinawa,1650
4397,Okinawa,N35
4398,Okinawa,Pink Frost
4399,NA,N35
4400,0439-006 Lime,1928-1
4401,Sulfur,1080-7
4402,Sulfur,1084-5
4403,Sulfur,1320-1
4404,Sulfur,1645
4405,Sulfur,1647
4406,Sulfur,1664-1N
4407,Sulfur,1835-01
4408,Sulfur,1928-17
4409,Sulfur,NA
4410,White Star,Pink Frost
4411,138-1,870-8
4412,138-1,1080-18
4413,138-1,1664-1N
4414,138-1,2894-209
4415,138-1,OK-2
4416,138-1,Sulfur
4417,338-1,364-2
4418,338-1,1080-18
4419,338-1,4120-2
4420,364-2,3439-36
4421,364-29,4005-3
4422,562,1928-1
4423,562,2591-1
4424,562,2591-3
4425,562,Sulfur
4426,778-1,953-36
4427,778-1,1863-3
4428,778-1,1892-2
4429,778-1,1925-9
4430,778-1,4005-3
4431,845-51,138-1
4432,845-51,2591-3
4433,845-51,OK-2
4434,848-6,1664-1N
4435,851-317,364-29
4436,851-317,4005-3
4437,857-2,1645
4438,857-2,1664-1N
4439,1863-3,1928-17
4440,866-3,4040-6
4441,866-5,1863-3
4442,866-5,1892-2
4443,866-5,2719-5
4444,866-3,2894-165
4445,866-5,4005-3
4446,870-3,953-10
4447,870-3,1664-1N
4448,870-7,1664-1N
4449,870-8,OK-2
4450,874-9,1664-1N
4451,888-9,953-36
4452,888-9,1863-3
4453,888-9,4005-3
4454,907-2,848-6
4455,907-2,953-10
4456,907-2,953-61
4457,907-2,1664-1N
4458,907-2,OK-2
4459,953-10,138-1
4460,953-10,848-6
4461,953-10,870-8
4462,953-10,953-36
4463,953-10,1080-18
4464,953-10,1664-1N
4465,953-10,2580-5
4466,953-10,2591-1
4467,953-10,NA
4468,953-36,953-10
4469,953-36,953-61
4470,953-36,1863-3
4471,1664-1N,2548-1
4472,953-36,2894-165
4473,953-36,NA
4474,953-38,1080-18
4475,953-55,1664-1N
4476,953-61,870-8
4477,1645,NA
4478,953-61,2894-209
4479,953-61,OK-2
4480,967-5,138-1
4481,967-5,337-70
4482,967-5,907-2
4483,967-5,953-36
4484,967-5,953-61
4485,967-5,1080-18
4486,967-5,1645
4487,967-5,1664-1N
4488,967-5,1928-17
4489,967-5,2500-1
4490,967-5,2591-1
4491,967-5,2769-1
4492,967-5,2894-209
4493,967-5,3000-1
4494,967-5,N35
4495,967-5,NA
4496,967-5,0439-006 Lime
4497,967-5,Sulfur
4498,1080-7,953-36
4499,1080-7,953
4500,1080-7,2894-209
4501,1080-7,N35
4502,1080-7,OK-2
4503,1080-7,0439-006 Lime
4504,1080-18,848-6
4505,1080-18,953-10
4506,1080-18,967-5
4507,1080-18,OK-2
4508,1084-5,1664-1N
4509,1084-5,OK-2
4510,1084-5,Sulfur
4511,1201-1,1664-1N
4512,1252-1,1519-1
4513,1252-1,1863-3
4514,1252-1,1925-9
4515,1252-1,3439-36
4516,1252-1,4005-3
4517,1252-1,N35
4518,1311-10,2894-165
4519,1320-1,138-1
4520,1320-1,2591-1
4521,1320-1,Sulfur
4522,1358-2,1863-3
4523,1358-2,1925-9
4524,1358-2,4005-3
4525,1519-1,2349-1
4526,1519-1,3492-5
4527,1519-1,Sulfur
4528,1645,848-6
4529,1645,1664-1N
4530,1645,Sulfur
4531,1646-28N,1201-1
4532,1646-28N,1835-1V
4533,1646-28N,2591-1
4534,1646-28N,OK-2
4535,1646-28N,Sulfur
4536,1664-1N,848-6
4537,1664-1N,874-9
4538,1664-1N,1925-88
4539,1664-1N,2500-1
4540,1664-1N,3458-1
4541,1664-1N,OK-2
4542,1664-1N,Sulfur
4543,2548-1,1931-17
4544,1835-1V,OK-2
4545,1846-2,NA
4546,1850-1,1928-17
4547,1857-1,1866-7
4548,1857-1,1925-35
4549,1857-1,1926-36
4550,1857-1,2648-14
4551,1859-1,1850-1
4552,1859-17,1664-1N
4553,1859-17,2894-209
4554,1859-17,3439-36
4555,1859-55,2769-1
4556,1859-55,2822-3
4557,1859-55,3000-1
4558,1859-55,Sulfur
4559,1863-2,1859-21
4560,1863-3,953-36
4561,1863-3,1201-1
4562,1863-3,1519-1
4563,1863-3,1664-1N
4564,1863-3,1835-1V
4565,1863-3,1925-35
4566,1863-3,1925-88
4567,1863-3,2349-1
4568,1863-3,2601-1
4569,1863-3,2769-1
4570,1863-3,2894-104
4571,1863-3,2920-4
4572,1863-3,3000-1
4573,1863-3,3386-1
4574,1863-3,3415-15
4575,1863-3,3439-36
4576,1863-3,3439-38
4577,1863-3,4061-1
4578,1863-3,4384-1
4579,1863-3,N35
4580,1863-3,NA
4581,1863-3,NA
4582,1863-3,Sulfur
4583,1866-7,1857-1
4584,1866-7,1925-35
4585,1866-7,2619-96
4586,1866-7,2648-14
4587,1925-88,1080-18
4588,1892-2,1857-1
4589,1892-2,2349-1
4590,1892-2,2648-14
4591,1892-2,2769-1
4592,1892-2,NA
4593,1925-9,364-29
4594,1925-9,735
4595,1925-9,1358-2
4596,1925-9,2894-104
4597,1925-9,4005-3
4599,1925-9,NA
4600,1925-9,Sulfur
4601,1925-35,866-5
4602,1925-35,1519-1
4603,1925-35,1857-1
4604,1925-35,2769-1
4605,1925-35,4005-3
4606,1925-88,337-70
4607,1925-88,953-10
4608,1925-88,953-36
4609,1925-88,1859-55
4610,2769-13,2933-18
4611,1925-88,1863-3
4612,1925-88,1928-14
4613,1925-88,2601-1
4614,1925-88,2894-33
4615,1925-88,2894-209
4616,1925-88,3000-1
4617,1925-88,3047-5
4618,1925-88,3458-1
4619,1925-88,4270-3
4620,1925-88,N35
4621,1925-88,OK-2
4622,1925-88,NA
4623,1926-1,1850-1
4624,1926-1,1928-17
4625,1926-1,2619-8
4626,1926-1,NA
4627,1926-39,1857-1
4628,1926-39,2648-14
4629,1926-41,1931-17
4630,1928-1,2279-1
4631,1928-1,2591-1
4632,1928-1,2591-2
4633,1928-1,2591-3
4634,1928-1,OK-2
4635,1928-1,Sulfur
4636,1928-14,562
4637,1928-14,848-6
4638,1928-14,1090-2
4639,1928-14,1859-55
4640,1928-14,1925-88
4641,1928-14,2349-1
4642,1928-14,2548-1
4643,1928-14,2580-5
4644,1928-14,2591-1
4645,1928-14,2591-3
4646,1928-14,2711-3
4647,2500-22,848-6
4648,1928-14,2894-165
4649,1928-14,2894-209
4650,1928-14,3000-1
4651,1928-14,3047-5
4652,1928-14,3407-5
4653,1928-14,N35
4654,1928-14,NA
4655,1928-14,OK-2
4656,1928-14,0439-006 Lime
4657,1928-14,Sulfur
4658,1928-17,337-70
4659,1928-17,1664-1N
4660,1928-17,2860-14
4661,1928-17,2894-209
4662,1928-17,3000-1
4663,1928-17,3047-5
4664,1928-17,3458-1
4665,1928-17,N35
4666,1928-17,OK-2
4667,1928-17,0439-006 Lime
4668,1928-17,Sulfur
4669,1931-17,1926-41
4670,1931-17,2769-1
4671,1931-17,2894-209
4672,1931-17,3000-1
4673,1931-17,3047-5
4674,2279-1,1928-1
4675,2279-1,2591-1
4676,2279-1,OK-2
4677,2279-1,Sulfur
4678,2349-1,953-36
4679,2349-1,888-9
4680,2349-1,1358-2
4681,2349-1,1519-1
4682,2349-1,1857-1
4683,2349-1,1892-2
4684,2349-1,1925-35
4685,2349-1,1926-39
4686,2349-1,1928-14
4687,2349-1,2601-1
4688,2349-1,2719-5
4689,2349-1,2822-3
4690,2349-1,2894-165
4691,2349-1,3000-1
